label,x,y,z,buried
20 4,478700.0573478279,3617348.079328891,0,0
20 5,478700.3673511728,3617346.6117124814,0,0
20 6,478700.6773545177,3617345.1440960714,0,0
20 7,478700.9873578626,3617343.676479662,0,0
20 8,478701.2973612075,3617342.208863252,0,0
20 9,478701.6073645524,3617340.7412468423,0,0
20 10,478701.9173678973,3617339.2736304323,0,0
20 11,478702.2273712422,3617337.806014023,0,0
20 12,478702.5373745871,3617336.338397613,0,0
20 13,478702.847377932,3617334.8707812033,0,0
21 1,478699.06446004636,3617351.1057500984,0,0
21 2,478699.1677800811,3617349.609312672,0,0
21 3,478699.27110011585,3617348.112875246,0,0
21 4,478699.3744201506,3617346.61643782,0,0
21 5,478699.4777401854,3617345.1200003936,0,0
21 6,478699.58106022014,3617343.6235629674,0,0
21 7,478699.6843802549,3617342.127125541,0,0
21 8,478699.7877002896,3617340.630688115,0,0
21 9,478699.8910203244,3617339.134250689,0,0
21 10,478699.9943403591,3617337.6378132626,0,0
21 11,478700.0976603939,3617336.1413758365,0,0
21 12,478700.20098042866,3617334.6449384103,0,0
21 13,478700.3043004634,3617333.148500984,0,0
22 1,478699.45706642536,3617353.018250586,0,0
22 2,478699.6261662444,3617354.5086885253,0,0
22 3,478699.7952660634,3617355.9991264646,0,0
22 4,478699.96436588245,3617357.489564404,0,0
22 5,478700.1334657014,3617358.9800023437,0,0
22 6,478700.30256552045,3617360.470440283,0,0
22 7,478700.4716653395,3617361.9608782222,0,0
22 8,478700.6407651585,3617363.4513161615,0,0
22 9,478700.80986497755,3617364.941754101,0,0
22 10,478700.9789647966,3617366.4321920406,0,0
22 11,478701.14806461555,3617367.92262998,0,0
22 12,478701.3171644346,3617369.413067919,0,0
22 13,478701.4862642536,3617370.9035058585,0,0
23 1,478699.40831201023,3617351.480375478,0,0
23 2,478699.69789601787,3617352.952157086,0,0
23 3,478699.98748002556,3617354.4239386944,0,0
23 4,478700.2770640332,3617355.8957203026,0,0
23 5,478700.56664804084,3617357.3675019112,0,0
23 6,478700.85623204854,3617358.8392835194,0,0
23 7,478701.1458160562,3617360.3110651276,0,0
23 8,478701.43540006387,3617361.782846736,0,0
23 9,478701.7249840715,3617363.2546283444,0,0
23 10,478702.01456807915,3617364.7264099526,0,0
23 11,478702.30415208684,3617366.198191561,0,0
23 12,478702.5937360945,3617367.669973169,0,0
23 13,478702.8833201022,3617369.141754777,0,0
24 1,478698.71724349196,3617349.3763850667,0,0
24 2,478698.99110111094,3617350.8511738665,0,0
24 3,478699.2649587299,3617352.325962667,0,0
24 4,478699.5388163489,3617353.800751467,0,0
24 5,478699.81267396786,3617355.2755402667,0,0
24 6,478700.0865315868,3617356.7503290665,0,0
24 7,478700.3603892058,3617358.2251178664,0,0
24 8,478700.6342468248,3617359.6999066668,0,0
24 9,478700.90810444375,3617361.1746954666,0,0
24 10,478701.1819620627,3617362.6494842665,0,0
24 11,478701.4558196817,3617364.1242730664,0,0
24 12,478701.72967730067,3617365.5990618663,0,0
24 13,478702.00353491964,3617367.0738506666,0,0
25 1,478698.33830821095,3617347.994895538,0,0
25 2,478698.5340643692,3617349.482067191,0,0
25 3,478698.7298205274,3617350.9692388447,0,0
25 4,478698.92557668564,3617352.456410498,0,0
25 5,478699.1213328439,3617353.943582151,0,0
25 6,478699.3170890021,3617355.4307538047,0,0
25 7,478699.5128451603,3617356.917925458,0,0
25 8,478699.7086013186,3617358.405097111,0,0
25 9,478699.9043574768,3617359.892268765,0,0
25 10,478700.100113635,3617361.379440418,0,0
25 11,478700.2958697933,3617362.866612071,0,0
25 12,478700.4916259515,3617364.353783725,0,0
25 13,478700.6873821097,3617365.840955378,0,0
26 1,478698.33782107563,3617346.610178405,0,0
26 2,478698.3808118824,3617348.1095622084,0,0
26 3,478698.4238026891,3617349.608946012,0,0
26 4,478698.46679349587,3617351.108329816,0,0
26 5,478698.5097843026,3617352.6077136192,0,0
26 6,478698.55277510936,3617354.1070974227,0,0
26 7,478698.59576591605,3617355.6064812266,0,0
26 8,478698.6387567228,3617357.10586503,0,0
26 9,478698.68174752954,3617358.6052488335,0,0
26 10,478698.7247383363,3617360.1046326375,0,0
26 11,478698.76772914303,3617361.604016441,0,0
26 12,478698.8107199498,3617363.1034002444,0,0
26 13,478698.8537107565,3617364.6027840483,0,0
27 1,478698.74737419287,3617344.5691290186,0,0
27 2,478698.8406548375,3617346.066225783,0,0
27 3,478698.9339354821,3617347.5633225474,0,0
27 4,478699.0272161268,3617349.0604193113,0,0
27 5,478699.1204967714,3617350.5575160757,0,0
27 6,478699.21377741604,3617352.0546128396,0,0
27 7,478699.30705806066,3617353.551709604,0,0
27 8,478699.40033870534,3617355.048806368,0,0
27 9,478699.49361934996,3617356.5459031323,0,0
27 10,478699.5868999946,3617358.042999896,0,0
27 11,478699.6801806392,3617359.5400966606,0,0
27 12,478699.7734612839,3617361.037193425,0,0
27 13,478699.8667419285,3617362.534290189,0,0
28 1,478699.2753980489,3617343.0554495924,0,0
28 2,478699.62647158565,3617344.5137867862,0,0
28 3,478699.9775451224,3617345.9721239805,0,0
28 4,478700.32861865906,3617347.430461175,0,0
28 5,478700.6796921958,3617348.8887983686,0,0
28 6,478701.0307657325,3617350.347135563,0,0
28 7,478701.3818392692,3617351.805472757,0,0
28 8,478701.7329128059,3617353.263809951,0,0
28 9,478702.08398634265,3617354.7221471453,0,0
28 10,478702.4350598793,3617356.1804843396,0,0
28 11,478702.78613341606,3617357.638821534,0,0
28 12,478703.1372069528,3617359.0971587277,0,0
28 13,478703.48828048946,3617360.555495922,0,0
29 1,478698.4241334482,3617337.7329687458,0,0
29 2,478698.5185835344,3617336.2359453053,0,0
29 3,478698.6130336205,3617334.738921865,0,0
29 4,478698.7074837067,3617333.2418984245,0,0
29 5,478698.8019337928,3617331.744874984,0,0
29 6,478698.896383879,3617330.2478515436,0,0
29 7,478698.9908339652,3617328.750828103,0,0
29 8,478699.0852840513,3617327.2538046627,0,0
29 9,478699.1797341375,3617325.7567812223,0,0
29 10,478699.2741842236,3617324.259757782,0,0
29 11,478699.3686343098,3617322.7627343414,0,0
29 12,478699.463084396,3617321.265710901,0,0
29 13,478699.5575344821,3617319.7686874606,0,0
30 1,478697.95661772136,3617336.40903446,0,0
30 2,478698.0048560123,3617334.9098103046,0,0
30 3,478698.0530943033,3617333.4105861494,0,0
30 4,478698.1013325943,3617331.911361994,0,0
30 5,478698.1495708853,3617330.412137839,0,0
30 6,478698.1978091763,3617328.9129136843,0,0
30 7,478698.2460474673,3617327.413689529,0,0
30 8,478698.2942857583,3617325.914465374,0,0
30 9,478698.3425240493,3617324.4152412186,0,0
30 10,478698.3907623402,3617322.9160170634,0,0
30 11,478698.4390006312,3617321.4167929087,0,0
30 12,478698.4872389222,3617319.9175687535,0,0
30 13,478698.5354772132,3617318.4183445983,0,0
31 1,478697.89002584724,3617338.553038726,0,0
31 2,478698.1443702327,3617340.0313177705,0,0
31 3,478698.3987146181,3617341.5095968153,0,0
31 4,478698.6530590036,3617342.9878758597,0,0
31 5,478698.90740338905,3617344.466154904,0,0
31 6,478699.1617477745,3617345.944433949,0,0
31 7,478699.4160921599,3617347.4227129933,0,0
31 8,478699.6704365454,3617348.9009920377,0,0
31 9,478699.92478093086,3617350.3792710826,0,0
31 10,478700.17912531627,3617351.857550127,0,0
31 11,478700.43346970173,3617353.335829172,0,0
31 12,478700.6878140872,3617354.814108216,0,0
31 13,478700.94215847267,3617356.2923872606,0,0
32 1,478697.7506541679,3617336.4327181396,0,0
32 2,478698.3044197938,3617337.8267567446,0,0
32 3,478698.85818541975,3617339.220795349,0,0
32 4,478699.4119510457,3617340.614833954,0,0
32 5,478699.9657166716,3617342.008872559,0,0
32 6,478700.51948229753,3617343.4029111634,0,0
32 7,478701.07324792346,3617344.7969497684,0,0
32 8,478701.6270135494,3617346.190988373,0,0
32 9,478702.1807791753,3617347.5850269776,0,0
32 10,478702.73454480123,3617348.9790655826,0,0
32 11,478703.2883104271,3617350.373104187,0,0
32 12,478703.842076053,3617351.7671427918,0,0
32 13,478704.39584167895,3617353.161181397,0,0
33 1,478697.418501747,3617335.1081907284,0,0
33 2,478697.9151530573,3617336.523583775,0,0
33 3,478698.41180436756,3617337.9389768215,0,0
33 4,478698.90845567785,3617339.354369868,0,0
33 5,478699.4051069881,3617340.7697629146,0,0
33 6,478699.90175829834,3617342.1851559607,0,0
33 7,478700.39840960864,3617343.6005490073,0,0
33 8,478700.8950609189,3617345.015942054,0,0
33 9,478701.3917122292,3617346.4313351004,0,0
33 10,478701.8883635394,3617347.846728147,0,0
33 11,478702.38501484966,3617349.262121193,0,0
33 12,478702.88166615996,3617350.6775142397,0,0
33 13,478703.3783174702,3617352.0929072862,0,0
34 1,478696.4860227565,3617333.9309953284,0,0
34 2,478696.4892648239,3617335.4309918247,0,0
34 3,478696.4925068913,3617336.930988321,0,0
34 4,478696.49574895867,3617338.4309848174,0,0
34 5,478696.4989910261,3617339.930981314,0,0
34 6,478696.50223309343,3617341.43097781,0,0
34 7,478696.50547516084,3617342.930974306,0,0
34 8,478696.5087172282,3617344.4309708024,0,0
34 9,478696.5119592956,3617345.930967299,0,0
34 10,478696.51520136296,3617347.430963795,0,0
34 11,478696.51844343037,3617348.9309602915,0,0
34 12,478696.5216854978,3617350.430956788,0,0
34 13,478696.52492756513,3617351.9309532843,0,0
35 1,478696.84537667903,3617331.7701544114,0,0
35 2,478697.3463591883,3617333.1840202203,0,0
35 3,478697.8473416976,3617334.597886029,0,0
35 4,478698.3483242069,3617336.011751838,0,0
35 5,478698.84930671623,3617337.425617647,0,0
35 6,478699.3502892255,3617338.8394834558,0,0
35 7,478699.8512717348,3617340.2533492646,0,0
35 8,478700.3522542441,3617341.6672150735,0,0
35 9,478700.8532367534,3617343.0810808823,0,0
35 10,478701.35421926266,3617344.494946691,0,0
35 11,478701.85520177195,3617345.9088125,0,0
35 12,478702.35618428123,3617347.322678309,0,0
35 13,478702.8571667905,3617348.7365441173,0,0
36 1,478696.1886966876,3617330.5685731284,0,0
36 2,478696.2625692033,3617332.0667529744,0,0
36 3,478696.3364417189,3617333.5649328204,0,0
36 4,478696.4103142346,3617335.063112667,0,0
36 5,478696.4841867503,3617336.561292513,0,0
36 6,478696.558059266,3617338.059472359,0,0
36 7,478696.6319317817,3617339.557652205,0,0
36 8,478696.7058042974,3617341.055832051,0,0
36 9,478696.7796768131,3617342.5540118976,0,0
36 10,478696.85354932875,3617344.0521917436,0,0
36 11,478696.92742184445,3617345.5503715896,0,0
36 12,478697.00129436015,3617347.048551436,0,0
36 13,478697.07516687585,3617348.546731282,0,0
37 1,478696.3042079851,3617329.010000584,0,0
37 2,478696.5796139739,3617330.484501022,0,0
37 3,478696.85501996276,3617331.9590014596,0,0
37 4,478697.1304259516,3617333.433501898,0,0
37 5,478697.4058319404,3617334.9080023356,0,0
37 6,478697.68123792927,3617336.3825027733,0,0
37 7,478697.9566439181,3617337.8570032115,0,0
37 8,478698.2320499069,3617339.3315036492,0,0
37 9,478698.5074558958,3617340.806004087,0,0
37 10,478698.7828618846,3617342.280504525,0,0
37 11,478699.0582678734,3617343.755004963,0,0
37 12,478699.3336738623,3617345.2295054006,0,0
37 13,478699.6090798511,3617346.704005839,0,0
38 1,478696.275295646,3617326.8659183616,0,0
38 2,478696.9680673805,3617328.196357133,0,0
38 3,478697.660839115,3617329.526795904,0,0
38 4,478698.3536108495,3617330.8572346754,0,0
38 5,478699.04638258397,3617332.1876734467,0,0
38 6,478699.73915431846,3617333.5181122175,0,0
38 7,478700.43192605296,3617334.848550989,0,0
38 8,478701.12469778745,3617336.17898976,0,0
38 9,478701.81746952195,3617337.5094285314,0,0
38 10,478702.51024125644,3617338.8398673027,0,0
38 11,478703.20301299094,3617340.1703060735,0,0
38 12,478703.89578472544,3617341.500744845,0,0
38 13,478704.58855645993,3617342.831183616,0,0
39 1,478694.9770329464,3617325.723113232,0,0
39 2,478695.2396326563,3617327.199948156,0,0
39 3,478695.50223236607,3617328.6767830797,0,0
39 4,478695.7648320759,3617330.1536180037,0,0
39 5,478696.0274317857,3617331.6304529277,0,0
39 6,478696.29003149556,3617333.1072878516,0,0
39 7,478696.5526312054,3617334.584122775,0,0
39 8,478696.8152309152,3617336.060957699,0,0
39 9,478697.07783062506,3617337.537792623,0,0
39 10,478697.3404303349,3617339.014627547,0,0
39 11,478697.6030300447,3617340.491462471,0,0
39 12,478697.86562975455,3617341.968297395,0,0
39 13,478698.1282294644,3617343.4451323184,0,0
40 1,478694.2262485984,3617324.517751804,0,0
40 2,478694.2792350473,3617326.0168156577,0,0
40 3,478694.33222149615,3617327.515879511,0,0
40 4,478694.38520794496,3617329.014943364,0,0
40 5,478694.4381943938,3617330.5140072173,0,0
40 6,478694.4911808426,3617332.013071071,0,0
40 7,478694.5441672915,3617333.512134924,0,0
40 8,478694.59715374035,3617335.0111987772,0,0
40 9,478694.65014018916,3617336.5102626304,0,0
40 10,478694.703126638,3617338.009326484,0,0
40 11,478694.7561130868,3617339.508390337,0,0
40 12,478694.8090995357,3617341.0074541904,0,0
40 13,478694.86208598455,3617342.5065180436,0,0
41 1,478694.88593175146,3617322.349942994,0,0
41 2,478695.591480565,3617323.673650239,0,0
41 3,478696.2970293786,3617324.997357485,0,0
41 4,478697.00257819216,3617326.32106473,0,0
41 5,478697.7081270057,3617327.644771976,0,0
41 6,478698.4136758193,3617328.968479221,0,0
41 7,478699.1192246329,3617330.2921864665,0,0
41 8,478699.8247734465,3617331.6158937123,0,0
41 9,478700.53032226005,3617332.9396009576,0,0
41 10,478701.2358710736,3617334.263308203,0,0
41 11,478701.9414198872,3617335.5870154486,0,0
41 12,478702.64696870075,3617336.910722694,0,0
41 13,478703.3525175143,3617338.234429939,0,0
42 1,478694.4894865679,3617321.05492486,0,0
42 2,478695.20205149386,3617322.374868505,0,0
42 3,478695.9146164198,3617323.69481215,0,0
42 4,478696.6271813458,3617325.0147557957,0,0
42 5,478697.33974627167,3617326.3346994407,0,0
42 6,478698.0523111976,3617327.654643086,0,0
42 7,478698.7648761236,3617328.974586731,0,0
42 8,478699.47744104953,3617330.294530376,0,0
42 9,478700.1900059754,3617331.6144740214,0,0
42 10,478700.9025709014,3617332.9344176664,0,0
42 11,478701.61513582733,3617334.2543613114,0,0
42 12,478702.3277007533,3617335.5743049565,0,0
42 13,478703.0402656792,3617336.8942486015,0,0
43 1,478694.2896120404,3617319.81916664,0,0
43 2,478694.9948460707,3617321.14304162,0,0
43 3,478695.700080101,3617322.4669166,0,0
43 4,478696.40531413135,3617323.7907915795,0,0
43 5,478697.11054816167,3617325.1146665597,0,0
43 6,478697.815782192,3617326.4385415395,0,0
43 7,478698.5210162223,3617327.7624165197,0,0
43 8,478699.2262502526,3617329.0862914994,0,0
43 9,478699.9314842829,3617330.410166479,0,0
43 10,478700.6367183132,3617331.7340414594,0,0
43 11,478701.34195234353,3617333.057916439,0,0
43 12,478702.04718637385,3617334.3817914193,0,0
43 13,478702.75242040417,3617335.705666399,0,0
44 1,478693.50429444556,3617314.1426578443,0,0
44 2,478693.8768152797,3617312.689651228,0,0
44 3,478694.2493361139,3617311.236644611,0,0
44 4,478694.62185694807,3617309.7836379944,0,0
44 5,478694.9943777822,3617308.3306313776,0,0
44 6,478695.3668986164,3617306.8776247613,0,0
44 7,478695.7394194506,3617305.4246181445,0,0
44 8,478696.1119402847,3617303.9716115277,0,0
44 9,478696.4844611189,3617302.518604911,0,0
44 10,478696.8569819531,3617301.0655982946,0,0
44 11,478697.22950278723,3617299.612591678,0,0
