x,y,label,Z,emiRho (mS/m)
478700.7145676013,3617376.9556627637,12 6,-1.875,1.20227311948197
478700.85434669623,3617378.4491358316,12 7,-1.625,2.292013816942994
478700.9941257911,3617379.9426088994,12 8,-1.0,0.5695293183486456
478701.1339048861,3617381.4360819673,12 9,-0.875,0.6405458051724191
478701.27368398104,3617382.929555035,12 10,-1.625,0.7673568225994035
478701.413463076,3617384.423028103,12 11,-0.75,0.576442800377749
478701.5532421709,3617385.916501171,12 12,-0.75,0.510448720357449
478701.69302126585,3617387.409974239,12 13,-2.0,2.418894010873775
478699.61697358685,3617364.0677096443,13 1,-0.75,0.5293433844623769
478699.656928777,3617362.568241878,13 2,-1.25,2.064089875486068
478699.6968839671,3617361.0687741116,13 3,-1.25,2.064089875486068
478699.73683915724,3617359.569306345,13 4,-0.875,0.5199857985033043
478699.7767943474,3617358.0698385783,13 5,-0.875,0.5180192872092024
478699.81674953754,3617356.570370812,13 6,-1.25,0.6122437109821812
478699.85670472763,3617355.0709030456,13 7,-0.625,0.5710193268515553
478699.8966599178,3617353.5714352787,13 8,-1.625,2.208468189136526
478699.93661510793,3617352.0719675124,13 9,-1.625,2.208468189136526
478699.976570298,3617350.572499746,13 10,-1.375,0.712368831297957
478700.0165254882,3617349.0730319796,13 11,-1.0,0.6185592092192476
478700.0564806783,3617347.573564213,13 12,-0.875,0.5072646974366424
478700.0964358685,3617346.0740964464,13 13,-1.0,0.6071795348696618
478699.826802039,3617362.044140452,14 1,-1.25,2.064089875486068
478699.8445785683,3617360.5442457907,14 2,-1.25,2.064089875486068
478699.86235509755,3617359.0443511293,14 3,-0.875,0.5180192872092024
478699.8801316268,3617357.544456468,14 4,-1.25,0.7398458739146978
478699.89790815604,3617356.0445618066,14 5,-0.625,0.5710193268515553
478699.9156846853,3617354.5446671452,14 6,-0.625,0.5710193268515553
478699.93346121453,3617353.044772484,14 7,-1.625,2.208468189136526
478699.9512377438,3617351.5448778225,14 8,-1.625,2.208468189136526
478699.969014273,3617350.0449831616,14 9,-1.375,0.712368831297957
478699.9867908023,3617348.5450885003,14 10,-1.875,2.576053369387192
478700.0045673315,3617347.045193839,14 11,-0.875,0.5072646974366424
478700.02234386076,3617345.5452991775,14 12,-1.0,0.6071795348696618
478700.04012039,3617344.045404516,14 13,-1.0,0.6071795348696618
478700.21203059773,3617360.7175754122,15 1,-1.25,2.064089875486068
478700.485728546,3617359.2427569716,15 2,-0.875,0.5180192872092024
478700.75942649425,3617357.767938531,15 3,-0.875,0.5180192872092024
478701.0331244425,3617356.29312009,15 4,-1.25,0.6122437109821812
478701.3068223908,3617354.8183016493,15 5,-0.625,0.5710193268515553
478701.5805203391,3617353.3434832087,15 6,-1.625,2.208468189136526
478701.85421828734,3617351.868664768,15 7,-1.625,2.208468189136526
478702.12791623565,3617350.393846327,15 8,-1.375,0.6571097116098386
478702.4016141839,3617348.9190278864,15 9,-1.375,0.712368831297957
478702.67531213217,3617347.4442094457,15 10,-0.875,0.5072646974366424
478702.9490100804,3617345.969391005,15 11,-1.0,0.6071795348696618
478703.22270802874,3617344.494572564,15 12,-1.0,0.6071795348696618
478703.496405977,3617343.0197541234,15 13,-1.0,0.6071795348696618
478700.2120457548,3617363.2436069082,16 1,-0.75,0.5293433844623769
478700.4037050709,3617364.7313120896,16 2,-1.5,0.9581230985333719
478700.595364387,3617366.219017271,16 3,-1.5,0.9581230985333719
478700.7870237031,3617367.7067224523,16 4,-1.125,0.5153611827033393
478700.9786830192,3617369.1944276337,16 5,-1.125,0.5153611827033393
478701.1703423353,3617370.682132815,16 6,-1.25,0.5727880276475185
478701.3620016514,3617372.1698379964,16 7,-1.25,0.5727880276475185
478701.5536609675,3617373.6575431777,16 8,-2.125,2.4861413706043716
478701.7453202836,3617375.145248359,16 9,-1.25,0.6717971359664637
478701.9369795997,3617376.63295354,16 10,-1.875,1.20227311948197
478702.1286389158,3617378.1206587213,16 11,-1.625,2.292013816942994
478702.3202982319,3617379.6083639027,16 12,-1.0,0.5695293183486456
478702.511957548,3617381.096069084,16 13,-0.875,0.6405458051724191
478700.1119970531,3617361.0931233205,17 1,-1.25,2.064089875486068
478700.53424484294,3617362.5324658104,17 2,-1.25,2.064089875486068
478700.9564926328,3617363.971808301,17 3,-0.75,0.5293433844623769
478701.3787404226,3617365.4111507908,17 4,-1.5,0.9581230985333719
478701.80098821246,3617366.850493281,17 5,-1.5,0.9581230985333719
478702.2232360023,3617368.289835771,17 6,-1.125,0.5153611827033393
478702.6454837921,3617369.7291782615,17 7,-1.0,0.5021688793622173
478703.067731582,3617371.1685207514,17 8,-1.25,0.5727880276475185
478703.4899793718,3617372.607863242,17 9,-2.125,2.4861413706043716
478703.91222716164,3617374.0472057317,17 10,-2.125,2.4861413706043716
478704.3344749515,3617375.486548222,17 11,-1.25,0.6717971359664637
478704.7567227413,3617376.925890712,17 12,-1.875,1.20227311948197
478705.17897053115,3617378.3652332025,17 13,-1.625,2.292013816942994
478699.73401231365,3617359.6833659923,18 1,-0.875,0.5199857985033043
478700.1632465489,3617361.120640486,18 2,-1.25,2.064089875486068
478700.59248078417,3617362.55791498,18 3,-1.25,2.064089875486068
478701.0217150194,3617363.9951894744,18 4,-0.75,0.5293433844623769
478701.4509492547,3617365.432463968,18 5,-1.5,0.9581230985333719
478701.88018348994,3617366.8697384624,18 6,-1.5,0.9581230985333719
478702.30941772525,3617368.3070129566,18 7,-1.125,0.5153611827033393
478702.7386519605,3617369.7442874503,18 8,-1.0,0.5021688793622173
478703.16788619576,3617371.1815619445,18 9,-1.25,0.5727880276475185
478703.597120431,3617372.6188364387,18 10,-2.125,2.4861413706043716
478704.0263546663,3617374.0561109325,18 11,-2.125,2.4861413706043716
478704.45558890153,3617375.4933854267,18 12,-1.25,0.6717971359664637
478704.8848231368,3617376.930659921,18 13,-1.875,1.20227311948197
478698.7680988164,3617357.778995163,19 1,-1.25,0.7398458739146978
478698.77139792865,3617359.278991535,19 2,-0.875,0.5180192872092024
478698.77469704096,3617360.7789879064,19 3,-1.25,2.064089875486068
478698.7779961532,3617362.2789842784,19 4,-1.25,2.064089875486068
478698.78129526554,3617363.7789806505,19 5,-0.75,0.5293433844623769
478698.7845943778,3617365.2789770225,19 6,-1.5,0.9581230985333719
478698.7878934901,3617366.7789733945,19 7,-1.5,0.9581230985333719
478698.79119260237,3617368.278969766,19 8,-1.125,0.5153611827033393
478698.7944917147,3617369.778966138,19 9,-1.0,0.5021688793622173
478698.79779082694,3617371.27896251,19 10,-1.25,0.5727880276475185
478698.8010899392,3617372.778958882,19 11,-2.125,2.4861413706043716
478698.8043890515,3617374.2789552542,19 12,-2.125,2.4861413706043716
478698.80768816377,3617375.7789516263,19 13,-1.25,0.6717971359664637
478699.1273377932,3617352.48217812,20 1,-1.625,2.208468189136526
478699.4373411381,3617351.0145617104,20 2,-1.375,0.6571097116098386
478699.747344483,3617349.5469453004,20 3,-1.0,0.6185592092192476
478700.0573478279,3617348.079328891,20 4,-1.875,2.576053369387192
478700.3673511728,3617346.6117124814,20 5,-1.0,0.6071795348696618
478700.6773545177,3617345.1440960714,20 6,-1.0,0.6071795348696618
478700.9873578626,3617343.676479662,20 7,-1.0,0.6071795348696618
478701.2973612075,3617342.208863252,20 8,-0.875,0.6729941239274262
478701.6073645524,3617340.7412468423,20 9,-1.875,1.226283250301604
478701.9173678973,3617339.2736304323,20 10,-0.75,0.6462008641474468
478702.2273712422,3617337.806014023,20 11,-2.125,2.1143484203363982
478702.5373745871,3617336.338397613,20 12,-1.25,1.9489161757538347
478702.847377932,3617334.8707812033,20 13,-0.625,0.5466328880438387
478699.06446004636,3617351.1057500984,21 1,-1.375,0.6571097116098386
478699.1677800811,3617349.609312672,21 2,-1.0,0.6185592092192476
478699.27110011585,3617348.112875246,21 3,-1.875,2.576053369387192
478699.3744201506,3617346.61643782,21 4,-1.0,0.6071795348696618
478699.4777401854,3617345.1200003936,21 5,-1.0,0.6071795348696618
478699.58106022014,3617343.6235629674,21 6,-1.0,0.6071795348696618
478699.6843802549,3617342.127125541,21 7,-0.875,0.6729941239274262
478699.7877002896,3617340.630688115,21 8,-0.75,0.6462008641474468
478699.8910203244,3617339.134250689,21 9,-0.75,0.6462008641474468
478699.9943403591,3617337.6378132626,21 10,-2.125,2.1143484203363982
478700.0976603939,3617336.1413758365,21 11,-1.25,1.9489161757538347
478700.20098042866,3617334.6449384103,21 12,-0.625,0.5466328880438387
478700.3043004634,3617333.148500984,21 13,-0.5,0.5711117720610688
478699.45706642536,3617353.018250586,22 1,-1.625,2.208468189136526
478699.6261662444,3617354.5086885253,22 2,-0.625,0.5710193268515553
478699.7952660634,3617355.9991264646,22 3,-0.625,0.5710193268515553
478699.96436588245,3617357.489564404,22 4,-1.25,0.7398458739146978
478700.1334657014,3617358.9800023437,22 5,-0.875,0.5180192872092024
478700.30256552045,3617360.470440283,22 6,-1.25,2.064089875486068
478700.4716653395,3617361.9608782222,22 7,-1.25,2.064089875486068
478700.6407651585,3617363.4513161615,22 8,-0.75,0.5293433844623769
478700.80986497755,3617364.941754101,22 9,-1.5,0.9581230985333719
478700.9789647966,3617366.4321920406,22 10,-1.5,0.9581230985333719
478701.14806461555,3617367.92262998,22 11,-1.125,0.5153611827033393
478701.3171644346,3617369.413067919,22 12,-1.0,0.5021688793622173
478701.4862642536,3617370.9035058585,22 13,-1.25,0.5727880276475185
478699.40831201023,3617351.480375478,23 1,-1.625,2.208468189136526
478699.69789601787,3617352.952157086,23 2,-1.625,2.208468189136526
478699.98748002556,3617354.4239386944,23 3,-0.625,0.5710193268515553
478700.2770640332,3617355.8957203026,23 4,-0.625,0.5710193268515553
478700.56664804084,3617357.3675019112,23 5,-1.25,0.6122437109821812
478700.85623204854,3617358.8392835194,23 6,-0.875,0.5180192872092024
478701.1458160562,3617360.3110651276,23 7,-1.25,2.064089875486068
478701.43540006387,3617361.782846736,23 8,-1.25,2.064089875486068
478701.7249840715,3617363.2546283444,23 9,-0.75,0.5293433844623769
478702.01456807915,3617364.7264099526,23 10,-1.5,0.9581230985333719
478702.30415208684,3617366.198191561,23 11,-1.5,0.9581230985333719
478702.5937360945,3617367.669973169,23 12,-1.125,0.5153611827033393
478702.8833201022,3617369.141754777,23 13,-1.125,0.5153611827033393
478698.71724349196,3617349.3763850667,24 1,-1.0,0.6185592092192476
478698.99110111094,3617350.8511738665,24 2,-1.375,0.712368831297957
478699.2649587299,3617352.325962667,24 3,-1.625,2.208468189136526
478699.5388163489,3617353.800751467,24 4,-1.625,2.208468189136526
478699.81267396786,3617355.2755402667,24 5,-0.625,0.5710193268515553
478700.0865315868,3617356.7503290665,24 6,-1.25,0.6122437109821812
478700.3603892058,3617358.2251178664,24 7,-0.875,0.5180192872092024
478700.6342468248,3617359.6999066668,24 8,-0.875,0.5199857985033043
478700.90810444375,3617361.1746954666,24 9,-1.25,2.064089875486068
478701.1819620627,3617362.6494842665,24 10,-0.75,0.5293433844623769
478701.4558196817,3617364.1242730664,24 11,-0.75,0.5293433844623769
478701.72967730067,3617365.5990618663,24 12,-1.5,0.9581230985333719
478702.00353491964,3617367.0738506666,24 13,-1.5,0.9581230985333719
478698.33830821095,3617347.994895538,25 1,-1.875,2.576053369387192
478698.5340643692,3617349.482067191,25 2,-1.0,0.6185592092192476
478698.7298205274,3617350.9692388447,25 3,-1.375,0.712368831297957
478698.92557668564,3617352.456410498,25 4,-1.625,2.208468189136526
478699.1213328439,3617353.943582151,25 5,-1.625,2.208468189136526
478699.3170890021,3617355.4307538047,25 6,-0.625,0.5710193268515553
478699.5128451603,3617356.917925458,25 7,-1.25,0.6122437109821812
478699.7086013186,3617358.405097111,25 8,-0.875,0.5180192872092024
478699.9043574768,3617359.892268765,25 9,-0.875,0.5199857985033043
478700.100113635,3617361.379440418,25 10,-1.25,2.064089875486068
478700.2958697933,3617362.866612071,25 11,-0.75,0.5293433844623769
478700.4916259515,3617364.353783725,25 12,-0.75,0.5293433844623769
478700.6873821097,3617365.840955378,25 13,-1.5,0.9581230985333719
478698.33782107563,3617346.610178405,26 1,-1.0,0.6071795348696618
478698.3808118824,3617348.1095622084,26 2,-1.875,2.576053369387192
478698.4238026891,3617349.608946012,26 3,-1.0,0.6185592092192476
478698.46679349587,3617351.108329816,26 4,-1.375,0.712368831297957
478698.5097843026,3617352.6077136192,26 5,-1.625,2.208468189136526
478698.55277510936,3617354.1070974227,26 6,-1.625,2.208468189136526
478698.59576591605,3617355.6064812266,26 7,-0.625,0.5710193268515553
478698.6387567228,3617357.10586503,26 8,-1.25,0.6122437109821812
478698.68174752954,3617358.6052488335,26 9,-0.875,0.5180192872092024
478698.7247383363,3617360.1046326375,26 10,-0.875,0.5199857985033043
478698.76772914303,3617361.604016441,26 11,-1.25,2.064089875486068
478698.8107199498,3617363.1034002444,26 12,-0.75,0.5293433844623769
478698.8537107565,3617364.6027840483,26 13,-0.75,0.5293433844623769
478698.74737419287,3617344.5691290186,27 1,-1.0,0.6071795348696618
478698.8406548375,3617346.066225783,27 2,-1.0,0.6071795348696618
478698.9339354821,3617347.5633225474,27 3,-0.875,0.5072646974366424
478699.0272161268,3617349.0604193113,27 4,-1.0,0.6185592092192476
478699.1204967714,3617350.5575160757,27 5,-1.375,0.712368831297957
478699.21377741604,3617352.0546128396,27 6,-1.625,2.208468189136526
478699.30705806066,3617353.551709604,27 7,-1.625,2.208468189136526
478699.40033870534,3617355.048806368,27 8,-0.625,0.5710193268515553
478699.49361934996,3617356.5459031323,27 9,-1.25,0.6122437109821812
478699.5868999946,3617358.042999896,27 10,-0.875,0.5180192872092024
478699.6801806392,3617359.5400966606,27 11,-0.875,0.5199857985033043
478699.7734612839,3617361.037193425,27 12,-1.25,2.064089875486068
478699.8667419285,3617362.534290189,27 13,-1.25,2.064089875486068
478699.2753980489,3617343.0554495924,28 1,-0.875,0.6729941239274262
478699.62647158565,3617344.5137867862,28 2,-1.0,0.6071795348696618
478699.9775451224,3617345.9721239805,28 3,-1.0,0.6071795348696618
478700.32861865906,3617347.430461175,28 4,-0.875,0.5072646974366424
478700.6796921958,3617348.8887983686,28 5,-1.0,0.6185592092192476
478701.0307657325,3617350.347135563,28 6,-1.375,0.712368831297957
478701.3818392692,3617351.805472757,28 7,-1.625,2.208468189136526
478701.7329128059,3617353.263809951,28 8,-1.625,2.208468189136526
478702.08398634265,3617354.7221471453,28 9,-0.625,0.5710193268515553
478702.4350598793,3617356.1804843396,28 10,-0.625,0.5710193268515553
478702.78613341606,3617357.638821534,28 11,-0.875,0.5180192872092024
478703.1372069528,3617359.0971587277,28 12,-0.875,0.5180192872092024
478703.48828048946,3617360.555495922,28 13,-1.25,2.064089875486068
478698.4241334482,3617337.7329687458,29 1,-2.125,2.1143484203363982
478698.5185835344,3617336.2359453053,29 2,-1.25,1.9489161757538347
478698.6130336205,3617334.738921865,29 3,-0.625,0.5466328880438387
478698.7074837067,3617333.2418984245,29 4,-0.5,0.5711117720610688
478698.8019337928,3617331.744874984,29 5,-1.375,0.7195259834286365
478698.896383879,3617330.2478515436,29 6,-1.25,0.9836119860413869
478698.9908339652,3617328.750828103,29 7,-1.25,1.0478335553982143
478699.0852840513,3617327.2538046627,29 8,-1.25,1.0478335553982143
478699.1797341375,3617325.7567812223,29 9,-0.75,0.6651289902442586
478699.2741842236,3617324.259757782,29 10,-0.5,0.6307640036231097
478699.3686343098,3617322.7627343414,29 11,-0.5,0.6307640036231097
478699.463084396,3617321.265710901,29 12,-1.5,0.7872025166633164
478699.5575344821,3617319.7686874606,29 13,-0.625,0.6236157120542289
478697.95661772136,3617336.40903446,30 1,-1.25,1.9489161757538347
478698.0048560123,3617334.9098103046,30 2,-0.625,0.5466328880438387
478698.0530943033,3617333.4105861494,30 3,-0.5,0.5711117720610688
478698.1013325943,3617331.911361994,30 4,-1.375,0.7195259834286365
478698.1495708853,3617330.412137839,30 5,-1.25,0.9836119860413869
478698.1978091763,3617328.9129136843,30 6,-1.25,1.0478335553982143
478698.2460474673,3617327.413689529,30 7,-0.75,0.6651289902442586
478698.2942857583,3617325.914465374,30 8,-0.75,0.6651289902442586
478698.3425240493,3617324.4152412186,30 9,-0.5,0.6307640036231097
478698.3907623402,3617322.9160170634,30 10,-0.5,0.6307640036231097
478698.4390006312,3617321.4167929087,30 11,-1.5,0.7872025166633164
478698.4872389222,3617319.9175687535,30 12,-0.625,0.6236157120542289
478698.5354772132,3617318.4183445983,30 13,-1.125,0.6108032959099365
478697.89002584724,3617338.553038726,31 1,-2.125,2.1143484203363982
478698.1443702327,3617340.0313177705,31 2,-0.75,0.6462008641474468
478698.3987146181,3617341.5095968153,31 3,-1.875,1.226283250301604
478698.6530590036,3617342.9878758597,31 4,-0.875,0.6729941239274262
478698.90740338905,3617344.466154904,31 5,-1.0,0.6071795348696618
478699.1617477745,3617345.944433949,31 6,-1.0,0.6071795348696618
478699.4160921599,3617347.4227129933,31 7,-0.875,0.5072646974366424
478699.6704365454,3617348.9009920377,31 8,-1.0,0.6185592092192476
478699.92478093086,3617350.3792710826,31 9,-1.375,0.712368831297957
478700.17912531627,3617351.857550127,31 10,-1.625,2.208468189136526
478700.43346970173,3617353.335829172,31 11,-1.625,2.208468189136526
478700.6878140872,3617354.814108216,31 12,-0.625,0.5710193268515553
478700.94215847267,3617356.2923872606,31 13,-1.25,0.6122437109821812
478697.7506541679,3617336.4327181396,32 1,-1.25,1.9489161757538347
478698.3044197938,3617337.8267567446,32 2,-2.125,2.1143484203363982
478698.85818541975,3617339.220795349,32 3,-0.75,0.6462008641474468
478699.4119510457,3617340.614833954,32 4,-0.75,0.6462008641474468
