x,y,z
478701.2494453567,3617380.5256572664,0
478701.45385437424,3617379.0396502162,0
478701.6582633917,3617377.553643166,0
478701.8626724092,3617376.0676361155,0
478702.06708142674,3617374.5816290653,0
478702.27149044425,3617373.0956220147,0
478702.4758994618,3617371.6096149646,0
478702.6803084793,3617370.1236079144,0
478702.8847174968,3617368.637600864,0
478703.08912651433,3617367.1515938137,0
478703.29353553185,3617365.6655867635,0
478703.49794454937,3617364.179579713,0
478703.7023535669,3617362.693572663,0
