x,y,z
478692.99119108747,3617308.0508804973,0
478693.47988440306,3617309.46904087,0
478693.96857771865,3617310.887201243,0
478694.45727103425,3617312.305361616,0
478694.94596434984,3617313.723521989,0
478695.43465766544,3617315.1416823617,0
478695.92335098103,3617316.5598427346,0
478696.4120442966,3617317.978003108,0
478696.9007376122,3617319.396163481,0
478697.3894309278,3617320.8143238537,0
478697.8781242434,3617322.2324842266,0
478698.366817559,3617323.6506445995,0
478698.8555108746,3617325.0688049723,0
