x,y,z
478697.95661772136,3617336.40903446,0
478698.0048560123,3617334.9098103046,0
478698.0530943033,3617333.4105861494,0
478698.1013325943,3617331.911361994,0
478698.1495708853,3617330.412137839,0
478698.1978091763,3617328.9129136843,0
478698.2460474673,3617327.413689529,0
478698.2942857583,3617325.914465374,0
478698.3425240493,3617324.4152412186,0
478698.3907623402,3617322.9160170634,0
478698.4390006312,3617321.4167929087,0
478698.4872389222,3617319.9175687535,0
478698.5354772132,3617318.4183445983,0
