x,y,z
478693.59809245967,3617309.127459851,0
478694.2589118044,3617310.47405474,0
478694.91973114916,3617311.820649628,0
478695.5805504939,3617313.167244517,0
478696.2413698386,3617314.513839405,0
478696.90218918334,3617315.8604342933,0
478697.5630085281,3617317.207029182,0
478698.22382787283,3617318.5536240702,0
478698.8846472176,3617319.900218959,0
478699.5454665623,3617321.246813847,0
478700.2062859071,3617322.593408736,0
478700.8671052518,3617323.940003624,0
478701.52792459656,3617325.286598513,0
