x,y,z
478693.75865516067,3617301.6099779196,0
478694.94782153115,3617300.6957113594,0
478696.1369879016,3617299.7814447987,0
478697.3261542721,3617298.8671782385,0
478698.51532064256,3617297.9529116782,0
478699.70448701305,3617297.038645118,0
478700.8936533835,3617296.1243785573,0
478702.08281975397,3617295.210111997,0
478703.27198612445,3617294.295845437,0
478704.46115249494,3617293.3815788766,0
478705.65031886543,3617292.4673123164,0
478706.83948523586,3617291.5530457557,0
478708.02865160635,3617290.6387791955,0
