x,y,z
478701.3941111379,3617381.0581536437,0
478701.5087194913,3617382.553768877,0
478701.62332784466,3617384.04938411,0
478701.7379361981,3617385.544999343,0
478701.8525445515,3617387.040614576,0
478701.9671529049,3617388.5362298093,0
478702.0817612583,3617390.031845042,0
478702.1963696117,3617391.527460275,0
478702.3109779651,3617393.0230755084,0
478702.42558631854,3617394.518690741,0
478702.54019467195,3617396.0143059744,0
478702.65480302536,3617397.5099212076,0
478702.7694113788,3617399.0055364403,0
