x,y,z
478699.1273377932,3617352.48217812,0
478699.4373411381,3617351.0145617104,0
478699.747344483,3617349.5469453004,0
478700.0573478279,3617348.079328891,0
478700.3673511728,3617346.6117124814,0
478700.6773545177,3617345.1440960714,0
478700.9873578626,3617343.676479662,0
478701.2973612075,3617342.208863252,0
478701.6073645524,3617340.7412468423,0
478701.9173678973,3617339.2736304323,0
478702.2273712422,3617337.806014023,0
478702.5373745871,3617336.338397613,0
478702.847377932,3617334.8707812033,0
