x,y,z
478692.28307812224,3617292.761905217,0
478692.69503671397,3617291.31958413,0
478693.1069953057,3617289.8772630426,0
478693.5189538974,3617288.4349419554,0
478693.93091248913,3617286.992620868,0
478694.34287108085,3617285.550299781,0
478694.7548296725,3617284.1079786937,0
478695.16678826424,3617282.6656576064,0
478695.57874685596,3617281.223336519,0
478695.9907054477,3617279.781015432,0
478696.4026640394,3617278.3386943447,0
478696.81462263106,3617276.8963732575,0
478697.2265812228,3617275.4540521703,0
