x,y,z
478701.6252117827,3617386.494827864,0
478702.03787061974,3617387.936948762,0
478702.4505294567,3617389.37906966,0
478702.86318829376,3617390.821190558,0
478703.2758471308,3617392.263311456,0
478703.6885059678,3617393.7054323535,0
478704.10116480483,3617395.1475532516,0
478704.5138236419,3617396.5896741496,0
478704.92648247886,3617398.031795047,0
478705.3391413159,3617399.4739159453,0
478705.7518001529,3617400.9160368433,0
478706.1644589899,3617402.3581577414,0
478706.57711782696,3617403.800278639,0
