x,y,z
478700.8134824765,3617377.5355370725,0
478700.8708443339,3617379.034439877,0
478700.9282061912,3617380.533342682,0
478700.9855680486,3617382.032245486,0
478701.042929906,3617383.5311482907,0
478701.1002917633,3617385.030051095,0
478701.1576536207,3617386.5289538996,0
478701.2150154781,3617388.0278567043,0
478701.2723773354,3617389.5267595085,0
478701.3297391928,3617391.025662313,0
478701.3871010501,3617392.5245651174,0
478701.4444629075,3617394.023467922,0
478701.5018247649,3617395.522370727,0
