x,y,z
478701.6912268279,3617372.598629373,0
478702.0772719488,3617374.048101403,0
478702.46331706975,3617375.497573432,0
478702.84936219064,3617376.9470454617,0
478703.2354073116,3617378.3965174914,0
478703.6214524325,3617379.845989521,0
478704.0074975534,3617381.295461551,0
478704.3935426743,3617382.74493358,0
478704.77958779526,3617384.1944056097,0
478705.16563291615,3617385.6438776394,0
478705.55167803704,3617387.093349669,0
478705.937723158,3617388.542821699,0
478706.3237682789,3617389.9922937285,0
