x,y,z
478700.2120457548,3617363.2436069082,0
478700.4037050709,3617364.7313120896,0
478700.595364387,3617366.219017271,0
478700.7870237031,3617367.7067224523,0
478700.9786830192,3617369.1944276337,0
478701.1703423353,3617370.682132815,0
478701.3620016514,3617372.1698379964,0
478701.5536609675,3617373.6575431777,0
478701.7453202836,3617375.145248359,0
478701.9369795997,3617376.63295354,0
478702.1286389158,3617378.1206587213,0
478702.3202982319,3617379.6083639027,0
478702.511957548,3617381.096069084,0
