x,y,z
478700.1119970531,3617361.0931233205,0
478700.53424484294,3617362.5324658104,0
478700.9564926328,3617363.971808301,0
478701.3787404226,3617365.4111507908,0
478701.80098821246,3617366.850493281,0
478702.2232360023,3617368.289835771,0
478702.6454837921,3617369.7291782615,0
478703.067731582,3617371.1685207514,0
478703.4899793718,3617372.607863242,0
478703.91222716164,3617374.0472057317,0
478704.3344749515,3617375.486548222,0
478704.7567227413,3617376.925890712,0
478705.17897053115,3617378.3652332025,0
