x,y,z
478693.4291221172,3617311.026814554,0
478693.9883387051,3617312.4186754692,0
478694.54755529296,3617313.8105363846,0
478695.1067718809,3617315.2023973004,0
478695.66598846874,3617316.5942582157,0
478696.22520505666,3617317.986119131,0
478696.7844216445,3617319.3779800464,0
478697.34363823244,3617320.769840962,0
478697.9028548203,3617322.161701877,0
478698.4620714082,3617323.5535627925,0
478699.0212879961,3617324.945423708,0
478699.580504584,3617326.337284623,0
478700.1397211719,3617327.729145539,0
