x,y,z
478696.1886966876,3617330.5685731284,0
478696.2625692033,3617332.0667529744,0
478696.3364417189,3617333.5649328204,0
478696.4103142346,3617335.063112667,0
478696.4841867503,3617336.561292513,0
478696.558059266,3617338.059472359,0
478696.6319317817,3617339.557652205,0
478696.7058042974,3617341.055832051,0
478696.7796768131,3617342.5540118976,0
478696.85354932875,3617344.0521917436,0
478696.92742184445,3617345.5503715896,0
478697.00129436015,3617347.048551436,0
478697.07516687585,3617348.546731282,0
