x,y,z
478698.33830821095,3617347.994895538,0
478698.5340643692,3617349.482067191,0
478698.7298205274,3617350.9692388447,0
478698.92557668564,3617352.456410498,0
478699.1213328439,3617353.943582151,0
478699.3170890021,3617355.4307538047,0
478699.5128451603,3617356.917925458,0
478699.7086013186,3617358.405097111,0
478699.9043574768,3617359.892268765,0
478700.100113635,3617361.379440418,0
478700.2958697933,3617362.866612071,0
478700.4916259515,3617364.353783725,0
478700.6873821097,3617365.840955378,0
