x,y,z
478698.4241334482,3617337.7329687458,0
478698.5185835344,3617336.2359453053,0
478698.6130336205,3617334.738921865,0
478698.7074837067,3617333.2418984245,0
478698.8019337928,3617331.744874984,0
478698.896383879,3617330.2478515436,0
478698.9908339652,3617328.750828103,0
478699.0852840513,3617327.2538046627,0
478699.1797341375,3617325.7567812223,0
478699.2741842236,3617324.259757782,0
478699.3686343098,3617322.7627343414,0
478699.463084396,3617321.265710901,0
478699.5575344821,3617319.7686874606,0
