x,y,z
478693.43050586345,3617311.9968334683,0
478694.199935261,3617313.28445857,0
478694.9693646586,3617314.5720836716,0
478695.7387940561,3617315.8597087734,0
478696.50822345365,3617317.147333875,0
478697.27765285125,3617318.434958976,0
478698.0470822488,3617319.722584078,0
478698.8165116464,3617321.0102091795,0
478699.5859410439,3617322.297834281,0
478700.3553704415,3617323.5854593827,0
478701.12479983905,3617324.873084484,0
478701.89422923664,3617326.1607095855,0
478702.6636586342,3617327.4483346874,0
