x,y,z
478697.89002584724,3617338.553038726,0
478698.1443702327,3617340.0313177705,0
478698.3987146181,3617341.5095968153,0
478698.6530590036,3617342.9878758597,0
478698.90740338905,3617344.466154904,0
478699.1617477745,3617345.944433949,0
478699.4160921599,3617347.4227129933,0
478699.6704365454,3617348.9009920377,0
478699.92478093086,3617350.3792710826,0
478700.17912531627,3617351.857550127,0
478700.43346970173,3617353.335829172,0
478700.6878140872,3617354.814108216,0
478700.94215847267,3617356.2923872606,0
