x,y,z
478693.29373103764,3617313.4430745365,0
478693.7687293159,3617314.865880439,0
478694.2437275941,3617316.288686341,0
478694.71872587234,3617317.7114922437,0
478695.1937241506,3617319.134298146,0
478695.66872242885,3617320.5571040483,0
478696.14372070704,3617321.9799099504,0
478696.6187189853,3617323.402715853,0
478697.09371726355,3617324.825521755,0
478697.56871554174,3617326.2483276576,0
478698.04371382,3617327.6711335597,0
478698.51871209824,3617329.093939462,0
478698.9937103765,3617330.5167453643,0
