x,y,z
478696.4860227565,3617333.9309953284,0
478696.4892648239,3617335.4309918247,0
478696.4925068913,3617336.930988321,0
478696.49574895867,3617338.4309848174,0
478696.4989910261,3617339.930981314,0
478696.50223309343,3617341.43097781,0
478696.50547516084,3617342.930974306,0
478696.5087172282,3617344.4309708024,0
478696.5119592956,3617345.930967299,0
478696.51520136296,3617347.430963795,0
478696.51844343037,3617348.9309602915,0
478696.5216854978,3617350.430956788,0
478696.52492756513,3617351.9309532843,0
