x,y,z
478699.2753980489,3617343.0554495924,0
478699.62647158565,3617344.5137867862,0
478699.9775451224,3617345.9721239805,0
478700.32861865906,3617347.430461175,0
478700.6796921958,3617348.8887983686,0
478701.0307657325,3617350.347135563,0
478701.3818392692,3617351.805472757,0
478701.7329128059,3617353.263809951,0
478702.08398634265,3617354.7221471453,0
478702.4350598793,3617356.1804843396,0
478702.78613341606,3617357.638821534,0
478703.1372069528,3617359.0971587277,0
478703.48828048946,3617360.555495922,0
