x,y,z
478693.9320437689,3617316.628261584,0
478694.43067659554,3617318.042957772,0
478694.9293094222,3617319.4576539597,0
478695.4279422489,3617320.872350148,0
478695.92657507554,3617322.2870463356,0
478696.4252079022,3617323.701742524,0
478696.9238407289,3617325.1164387115,0
478697.42247355555,3617326.5311348997,0
478697.92110638216,3617327.9458310874,0
478698.4197392088,3617329.3605272756,0
478698.9183720355,3617330.7752234633,0
478699.41700486216,3617332.1899196515,0
478699.9156376888,3617333.604615839,0
