x,y,z
478694.88593175146,3617322.349942994,0
478695.591480565,3617323.673650239,0
478696.2970293786,3617324.997357485,0
478697.00257819216,3617326.32106473,0
478697.7081270057,3617327.644771976,0
478698.4136758193,3617328.968479221,0
478699.1192246329,3617330.2921864665,0
478699.8247734465,3617331.6158937123,0
478700.53032226005,3617332.9396009576,0
478701.2358710736,3617334.263308203,0
478701.9414198872,3617335.5870154486,0
478702.64696870075,3617336.910722694,0
478703.3525175143,3617338.234429939,0
