x,y,z
478692.6756037284,3617303.479813618,0
478692.69608152466,3617304.9796738313,0
478692.7165593209,3617306.479534045,0
478692.7370371172,3617307.979394258,0
478692.75751491345,3617309.4792544716,0
478692.7779927098,3617310.979114685,0
478692.79847050604,3617312.4789748983,0
478692.8189483023,3617313.978835112,0
478692.83942609857,3617315.4786953256,0
478692.85990389483,3617316.9785555387,0
478692.88038169115,3617318.4784157523,0
478692.9008594874,3617319.978275966,0
478692.9213372837,3617321.478136179,0
