x,y,z
478694.2262485984,3617324.517751804,0
478694.2792350473,3617326.0168156577,0
478694.33222149615,3617327.515879511,0
478694.38520794496,3617329.014943364,0
478694.4381943938,3617330.5140072173,0
478694.4911808426,3617332.013071071,0
478694.5441672915,3617333.512134924,0
478694.59715374035,3617335.0111987772,0
478694.65014018916,3617336.5102626304,0
478694.703126638,3617338.009326484,0
478694.7561130868,3617339.508390337,0
478694.8090995357,3617341.0074541904,0
478694.86208598455,3617342.5065180436,0
