x,y,z
478700.01567212655,3617369.488297424,0
478700.1554512215,3617370.9817704917,0
478700.29523031646,3617372.4752435596,0
478700.4350094114,3617373.9687166275,0
478700.5747885063,3617375.462189696,0
478700.7145676013,3617376.9556627637,0
478700.85434669623,3617378.4491358316,0
478700.9941257911,3617379.9426088994,0
478701.1339048861,3617381.4360819673,0
478701.27368398104,3617382.929555035,0
478701.413463076,3617384.423028103,0
478701.5532421709,3617385.916501171,0
478701.69302126585,3617387.409974239,0
