x,y,z
478692.5380027903,3617291.6938775536,0
478692.75542988296,3617293.178035719,0
478692.9728569756,3617294.6621938837,0
478693.19028406835,3617296.146352049,0
478693.407711161,3617297.6305102143,0
478693.62513825373,3617299.1146683795,0
478693.8425653464,3617300.598826545,0
478694.0599924391,3617302.08298471,0
478694.2774195318,3617303.567142875,0
478694.4948466245,3617305.05130104,0
478694.71227371716,3617306.5354592055,0
478694.9297008099,3617308.019617371,0
478695.14712790254,3617309.503775536,0
