x,y,z
478699.45706642536,3617353.018250586,0
478699.6261662444,3617354.5086885253,0
478699.7952660634,3617355.9991264646,0
478699.96436588245,3617357.489564404,0
478700.1334657014,3617358.9800023437,0
478700.30256552045,3617360.470440283,0
478700.4716653395,3617361.9608782222,0
478700.6407651585,3617363.4513161615,0
478700.80986497755,3617364.941754101,0
478700.9789647966,3617366.4321920406,0
478701.14806461555,3617367.92262998,0
478701.3171644346,3617369.413067919,0
478701.4862642536,3617370.9035058585,0
