x,y,Linear Conductivity,Linear Resistivity,Depth,DOI,DOI Flag
448585.928,4177592.057,209.2856356,4.778158794,-0.1,-3.400915539,0
448586.1066,4177592.45,209.1526698,4.781196439,-0.1,-3.400915539,0
448586.2853,4177592.847,208.9351087,4.78617503,-0.1,-3.400915539,0
448586.4553,4177593.258,209.8202643,4.765983892,-0.1,-3.696647325,0
448586.6024,4177593.686,209.5390913,4.772379195,-0.1,-3.696647325,0
448586.7124,4177594.077,208.7842661,4.789632948,-0.1,-3.696647325,0
448586.7842,4177594.441,206.0446468,4.853317062,-0.1,-3.696647325,0
448586.8307,4177594.824,200.875805,4.978200335,-0.1,-3.696647325,0
448586.8676,4177595.235,195.0637759,5.126528467,-0.1,-3.696647325,0
448586.9028,4177595.652,189.4376271,5.278782337,-0.1,-3.696647325,0
448586.9554,4177596.027,182.7947688,5.470616072,-0.1,-3.696647325,0
448587.0042,4177596.374,175.2681215,5.705544118,-0.1,-3.696647325,0
448587.052,4177596.687,166.7732892,5.996164044,-0.1,-3.696647325,0
448586.9974,4177596.977,155.7929834,6.418774315,-0.1,-3.696647325,0
448586.9217,4177597.271,145.8026723,6.858584853,-0.1,-3.696647325,0
448586.855,4177597.599,135.5144878,7.379284799,-0.1,-3.696647325,0
448586.8151,4177597.981,126.3302647,7.915759555,-0.1,-3.696647325,0
448586.7847,4177598.326,118.5314701,8.436578058,-0.1,-3.696647325,0
448586.7706,4177598.747,111.2686106,8.987260596,-0.1,-3.696647325,0
448586.7347,4177599.21,103.4600133,9.665569995,-0.1,-3.696647325,0
448586.7353,4177599.727,97.11058512,10.29753861,-0.1,-3.992379111,0
448586.7546,4177600.289,91.91451863,10.87967402,-0.1,-3.992379111,0
448586.8077,4177600.881,88.77978226,11.26382578,-0.1,-3.992379111,0
448587.0237,4177601.477,87.4108049,11.44023329,-0.1,-3.992379111,0
448587.3066,4177602.059,85.31103338,11.72181323,-0.1,-3.992379111,0
448587.6098,4177602.634,83.41734067,11.98791513,-0.1,-3.992379111,0
448587.8785,4177603.197,82.08024941,12.18319885,-0.1,-3.992379111,0
448588.1157,4177603.802,80.83953503,12.37018495,-0.1,-3.992379111,0
448588.2792,4177604.305,79.86695592,12.52082277,-0.1,-3.992379111,0
448588.3931,4177604.759,79.14379048,12.63523005,-0.1,-3.992379111,0
448588.4469,4177605.201,77.92424505,12.83297643,-0.1,-3.992379111,0
448588.4523,4177605.638,76.3359595,13.09998599,-0.1,-3.992379111,0
448588.4111,4177606.096,73.77485562,13.55475374,-0.1,-3.992379111,0
448588.3157,4177606.618,70.50251501,14.18389117,-0.1,-3.992379111,0
448588.1802,4177607.217,67.07132972,14.90950014,-0.1,-3.992379111,0
448588.0354,4177607.869,63.29354886,15.79939849,-0.1,-3.992379111,0
448587.9171,4177608.535,59.2519412,16.87708419,-0.1,-3.992379111,0
448587.8594,4177609.183,55.45217364,18.03355819,-0.1,-3.992379111,0
448587.8758,4177609.836,51.81805633,19.29829235,-0.1,-3.992379111,0
448587.9626,4177610.477,48.19804929,20.74772765,-0.1,-3.992379111,0
448588.0512,4177611.112,44.86548014,22.28885096,-0.1,-4.288110897,0
448588.1731,4177611.733,41.51949092,24.08507373,-0.1,-4.288110897,0
448588.2781,4177612.325,38.56150279,25.93259929,-0.1,-4.288110897,0
448588.3846,4177612.867,35.87381998,27.87548136,-0.1,-4.288110897,0
448588.5077,4177613.39,33.86703461,29.52723826,-0.1,-4.288110897,0
448588.6272,4177613.905,32.46856025,30.79902503,-0.1,-4.288110897,0
448588.7354,4177614.445,31.44958105,31.79692596,-0.1,-4.288110897,0
448588.8182,4177615.004,30.20134841,33.1111044,-0.1,-4.288110897,0
448588.8411,4177615.571,28.77981972,34.74656928,-0.1,-4.288110897,0
448588.6743,4177616.367,27.69469368,36.10800002,-0.1,-4.583842683,0
448588.6145,4177617.1,26.82609224,37.27714014,-0.1,-4.583842683,0
448588.5998,4177617.845,25.89683863,38.61475195,-0.1,-4.583842683,0
448588.6547,4177618.592,24.93583748,40.10292418,-0.1,-4.583842683,0
448588.7808,4177619.33,24.19904767,41.32394024,-0.1,-4.583842683,0
448588.91,4177619.982,23.63474006,42.31059861,-0.1,-4.583842683,0
448589.0256,4177620.57,23.12121884,43.25031509,-0.1,-4.583842683,0
448589.138,4177621.086,22.55441036,44.33722647,-0.1,-4.583842683,0
448589.2502,4177621.555,22.12839585,45.19080401,-0.1,-4.583842683,0
448589.3923,4177622.01,21.8420792,45.78318717,-0.1,-4.583842683,0
448589.7649,4177622.29,21.33882949,46.86292659,-0.1,-4.583842683,0
448590.0631,4177622.626,20.68561011,48.34278489,-0.1,-4.583842683,0
448590.3021,4177622.948,20.20971904,49.48114312,-0.1,-4.583842683,0
448590.4849,4177623.294,19.95879919,50.10321465,-0.1,-4.583842683,0
448590.5805,4177623.661,19.76395456,50.59716147,-0.1,-4.583842683,0
448590.6484,4177624.089,19.56392003,51.11450049,-0.1,-4.583842683,0
448590.6946,4177624.576,19.33551168,51.71831068,-0.1,-4.583842683,0
448590.7006,4177625.119,19.13426435,52.26226532,-0.1,-4.583842683,0
448590.6612,4177625.721,18.89302908,52.92957503,-0.1,-4.583842683,0
448590.5983,4177626.365,18.59035103,53.79134576,-0.1,-4.583842683,0
448590.4639,4177626.994,18.40488883,54.33338984,-0.1,-4.583842683,0
448590.2881,4177627.629,18.33234983,54.54838084,-0.1,-4.583842683,0
448590.1135,4177628.307,18.18160932,55.00063182,-0.1,-4.583842683,0
448589.9409,4177629.034,17.88843695,55.90203341,-0.1,-4.879574469,0
448589.781,4177629.815,17.49103086,57.17215916,-0.1,-4.879574469,0
448589.6284,4177630.625,16.96291673,58.95212574,-0.1,-4.879574469,0
448589.4934,4177631.443,16.330188,61.23628217,-0.1,-4.879574469,0
448589.3963,4177632.263,15.49412659,64.54058536,-0.1,-4.879574469,0
448589.3353,4177633.083,14.62411798,68.38019232,-0.1,-4.879574469,0
448589.2928,4177633.902,13.72580985,72.8554461,-0.1,-4.879574469,0
448589.2546,4177634.692,12.7713367,78.30033956,-0.1,-4.879574469,0
448589.2286,4177635.474,11.8532979,84.36470667,-0.1,-4.879574469,0
448589.1945,4177636.213,10.96414195,91.20640766,-0.1,-4.879574469,0
448589.1453,4177636.941,10.12561972,98.75938736,-0.1,-4.879574469,0
448589.0915,4177637.65,9.441447382,105.9159639,-0.1,-4.879574469,0
448589.0465,4177638.343,8.871691347,112.7180783,-0.1,-4.879574469,0
448589.0341,4177639.03,8.412038584,118.8772484,-0.1,-4.879574469,0
448589.0365,4177639.702,8.129294006,123.0119121,-0.1,-4.879574469,0
448589.0406,4177640.356,7.945391486,125.8591225,-0.1,-4.879574469,0
448589.0366,4177640.99,7.847023188,127.4368606,-0.1,-4.879574469,0
448589,4177641.62,7.835833405,127.6188439,-0.1,-5.175306255,0
448588.9283,4177642.274,7.859141735,127.240357,-0.1,-5.175306255,0
448588.8338,4177642.947,7.899598921,126.5887053,-0.1,-5.175306255,0
448588.7242,4177643.6,7.951147499,125.7680102,-0.1,-5.175306255,0
448588.5593,4177644.286,7.944049157,125.8803892,-0.1,-5.175306255,0
448588.3206,4177644.997,7.93402118,126.0394921,-0.1,-5.175306255,0
