rms_ap_rm1
1.02
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.01
1.01
1.01
1.0
1.0
1.0
1.0
1.0
1.0
1.01
1.0
1.0
1.0
1.0
1.0
1.02
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.07
1.0
1.01
1.01
