Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,55.0,49.0,59.5,43.0,1.15,0.0,91.147,2359.007,29.87,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,478692.1435,3617289.001,1
,Mixed / non conventional,55.0,49.0,44.5,59.5,1.13,0.0,-107.351,2359.007,-24.74,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,58.0,44.5,1.07,0.0,139.892,2359.007,17.99,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,46.0,58.0,1.02,0.0,-170.776,2359.007,-14.14,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,43.0,61.0,1.19,0.0,-74.197,2359.007,-37.7,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,47.5,56.5,0.77,0.0,-310.307,2359.007,-5.89,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,53.5,47.5,0.7,0.0,258.047,2359.007,6.43,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,50.5,53.5,0.71,0.0,-238.119,2359.007,-7.07,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,52.0,50.5,0.81,0.0,134.907,2359.007,14.14,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
,Mixed / non conventional,55.0,49.0,56.5,46.0,0.85,0.0,239.927,2359.007,8.32,0,,1/28/2024 5:27:16 PM,0,1900-01-01 17:27:16,,,0
