Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,1.0,-5.0,-11.0,7.0,1.21,0.0,-75.986,2362.063,-37.7,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,478700.9951,3617373.499,1
,Mixed / non conventional,1.0,-5.0,-2.0,-3.5,0.84,0.0,140.667,2362.063,14.14,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,-3.5,-0.5,0.69,0.0,-229.056,2362.063,-7.07,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,-0.5,-6.5,0.66,0.0,241.347,2362.063,6.43,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,-6.5,2.5,0.76,0.0,-305.303,2362.063,-5.89,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,2.5,-8.0,0.84,0.0,238.133,2362.063,8.32,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,-8.0,4.0,1.04,0.0,-173.127,2362.063,-14.14,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,4.0,-9.5,1.08,0.0,141.743,2362.063,17.99,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,-9.5,5.5,1.15,0.0,-109.688,2362.063,-24.74,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
,Mixed / non conventional,1.0,-5.0,5.5,-11.0,1.17,0.0,92.191,2362.063,29.87,0,,1/28/2024 5:25:08 PM,0,1900-01-01 17:25:08,,,0
