Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,5.0,-1.0,-7.0,11.0,1.2,0.0,-76.754,2407.949,-37.7,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,478699.7621,3617366.779,1
,Mixed / non conventional,5.0,-1.0,9.5,-7.0,1.16,0.0,93.155,2407.949,29.87,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,-5.5,9.5,1.13,0.0,-110.146,2407.949,-24.74,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,8.0,-5.5,1.07,0.0,143.374,2407.949,17.99,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,-4.0,8.0,1.02,0.0,-173.213,2407.949,-14.14,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,6.5,-4.0,0.83,0.0,239.931,2407.949,8.32,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,3.5,-2.5,0.67,0.0,251.956,2407.949,6.43,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,0.5,3.5,0.71,0.0,-241.148,2407.949,-7.07,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,2.0,0.5,0.83,0.0,141.94,2407.949,14.14,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
,Mixed / non conventional,5.0,-1.0,-2.5,6.5,0.75,0.0,-306.567,2407.949,-5.89,0,,1/28/2024 5:25:18 PM,0,1900-01-01 17:25:18,,,0
