Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,26.0,20.0,29.0,15.5,0.95,0.0,124.266,2343.386,17.99,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,478696.5205,3617332.549,1
,Mixed / non conventional,26.0,20.0,14.0,32.0,1.08,0.0,-67.287,2343.386,-37.7,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,30.5,14.0,1.03,0.0,80.862,2343.386,29.87,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,15.5,30.5,1.0,0.0,-94.857,2343.386,-24.74,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,17.0,29.0,0.91,0.0,-151.38,2343.386,-14.14,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,23.0,21.5,1.12,0.0,186.097,2343.386,14.14,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,18.5,27.5,0.69,0.0,-273.95,2343.386,-5.89,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,24.5,18.5,0.61,0.0,222.3,2343.386,6.43,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,21.5,24.5,0.82,0.0,-271.593,2343.386,-7.07,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
,Mixed / non conventional,26.0,20.0,27.5,17.0,0.75,0.0,212.4,2343.386,8.32,0,,1/28/2024 5:26:08 PM,0,1900-01-01 17:26:08,,,0
