Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,27.0,21.0,30.0,16.5,0.97,0.0,126.651,2349.374,17.99,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,478696.4802,3617331.237,1
,Mixed / non conventional,27.0,21.0,15.0,33.0,1.1,0.0,-68.403,2349.374,-37.7,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,31.5,15.0,1.05,0.0,82.278,2349.374,29.87,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,16.5,31.5,1.02,0.0,-96.564,2349.374,-24.74,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,18.0,30.0,0.93,0.0,-153.822,2349.374,-14.14,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,28.5,18.0,0.76,0.0,216.102,2349.374,8.32,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,19.5,28.5,0.7,0.0,-277.508,2349.374,-5.89,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,25.5,19.5,0.61,0.0,224.337,2349.374,6.43,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,22.5,25.5,0.64,0.0,-212.889,2349.374,-7.07,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
,Mixed / non conventional,27.0,21.0,24.0,22.5,0.76,0.0,126.233,2349.374,14.14,0,,1/28/2024 5:26:10 PM,0,1900-01-01 17:26:10,,,0
