Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,29.0,23.0,17.0,35.0,1.09,0.0,-69.023,2377.09,-37.7,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,478696.051,3617327.776,1
,Mixed / non conventional,29.0,23.0,33.5,17.0,1.04,0.0,82.659,2377.09,29.87,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,18.5,33.5,1.01,0.0,-97.494,2377.09,-24.74,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,32.0,18.5,0.96,0.0,127.447,2377.09,17.99,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,20.0,32.0,0.92,0.0,-155.22,2377.09,-14.14,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,30.5,20.0,0.76,0.0,217.824,2377.09,8.32,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,27.5,21.5,0.62,0.0,229.536,2377.09,6.43,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,24.5,27.5,0.72,0.0,-241.998,2377.09,-7.07,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,26.0,24.5,0.91,0.0,152.841,2377.09,14.14,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
,Mixed / non conventional,29.0,23.0,21.5,30.5,0.7,0.0,-280.628,2377.09,-5.89,0,,1/28/2024 5:26:15 PM,0,1900-01-01 17:26:15,,,0
