Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,2.0,-4.0,-10.0,8.0,1.21,0.0,-75.933,2372.276,-37.7,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,478701.1967,3617371.328,1
,Mixed / non conventional,2.0,-4.0,6.5,-10.0,1.16,0.0,91.958,2372.276,29.87,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,-8.5,6.5,1.14,0.0,-109.03,2372.276,-24.74,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,5.0,-8.5,1.07,0.0,141.319,2372.276,17.99,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,-7.0,5.0,1.03,0.0,-172.04,2372.276,-14.14,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,-2.5,0.5,0.68,0.0,-227.777,2372.276,-7.07,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,-5.5,3.5,0.75,0.0,-303.443,2372.276,-5.89,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,0.5,-5.5,0.65,0.0,240.593,2372.276,6.43,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,-1.0,-2.5,0.83,0.0,139.284,2372.276,14.14,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
,Mixed / non conventional,2.0,-4.0,3.5,-7.0,0.83,0.0,236.907,2372.276,8.32,0,,1/28/2024 5:25:11 PM,0,1900-01-01 17:25:11,,,0
