Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,7.0,1.0,-5.0,13.0,1.15,0.0,-72.366,2372.55,-37.7,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,478699.8111,3617363.369,1
,Mixed / non conventional,7.0,1.0,4.0,2.5,0.88,0.0,148.273,2372.55,14.14,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,2.5,5.5,0.71,0.0,-236.722,2372.55,-7.07,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,5.5,-0.5,0.64,0.0,236.167,2372.55,6.43,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,-0.5,8.5,0.74,0.0,-297.705,2372.55,-5.89,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,8.5,-2.0,0.82,0.0,233.669,2372.55,8.32,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,-2.0,10.0,0.99,0.0,-166.249,2372.55,-14.14,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,10.0,-3.5,1.04,0.0,137.407,2372.55,17.99,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,-3.5,11.5,1.09,0.0,-104.766,2372.55,-24.74,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
,Mixed / non conventional,7.0,1.0,11.5,-5.0,1.13,0.0,89.578,2372.55,29.87,0,,1/28/2024 5:25:23 PM,0,1900-01-01 17:25:23,,,0
