x,y,HCP1.0,HCP1.0_inph,PRP1.1,PRP1.1_inph,HCP2.0,HCP2.0_inph,PRP2.1,PRP2.1_inph,HCP4.0,HCP4.0_inph,PRP4.1,PRP4.1_inph,,,,,,,
460757.754,4276562.934,7.3,0.11,11.3,-1.61,3,0.28,7.4,-3.4,6.2,-0.94,5.2,-8.4,,,,,,,
460757.7791,4276562.916,6.9,0.11,11.3,-1.61,3,0.28,7.2,-3.39,6.2,-0.91,5.1,-8.37,,,,,,,
460757.7827,4276562.926,6.8,0.1,11.2,-1.62,3.5,0.25,7,-3.3,6.1,-0.93,5.4,-8.39,,,,,,,
460757.7862,4276562.936,7.4,0.08,8.8,-1.65,3.8,0.07,5,-3.71,6,-1.06,5,-5.88,,,,,,,
460757.7897,4276562.946,8.5,0.03,1.9,-1.43,1.9,-0.07,1.3,-3.5,6.2,-1.32,3.9,-4.38,,,,,,,
460757.7845,4276562.937,5.8,-0.03,-2,-1.33,-0.8,-0.08,1.1,-3.25,5.6,-0.96,3.4,-4.37,,,,,,,
460757.7792,4276562.928,-5.7,-0.27,-7.2,-1.3,0.2,0.17,4.5,-3.18,5.3,-0.81,3.1,-4.22,,,,,,,
460757.7739,4276562.919,-118.9,-1.63,30.1,-0.15,8.7,1.13,5.7,-3.22,5.6,-0.63,3,-3.84,,,,,,,
460757.8128,4276562.867,-105.1,-0.95,34.3,-0.25,11.5,1.46,4.7,-3.14,5.6,-0.52,2.7,-3.31,,,,,,,
460757.8518,4276562.815,3.2,0.15,0.9,-1.26,7.9,1.01,0.1,-3.19,5.5,-0.65,2.2,-3.2,,,,,,,
460757.6882,4276562.839,7.5,0.05,0.1,-1.32,2.9,0.2,-2.4,-3.22,5.2,-0.79,1.8,-3.46,,,,,,,
460757.5247,4276562.862,7.9,0.02,0.5,-1.31,1.1,-0.05,-1.5,-3.09,5.1,-0.85,2,-4.16,,,,,,,
460757.3612,4276562.886,9.2,-0.08,1.5,-1.29,-1.5,0.02,1.1,-2.8,5.6,-1.09,2.4,-5.39,,,,,,,
460757.0392,4276563.249,9.2,-0.18,1.7,-1.23,1.5,0.53,-0.2,-3.2,5.6,-1.15,2,-6.97,,,,,,,
460756.7181,4276563.613,6.6,-0.14,1.5,-1.24,3.4,0.23,1.4,-3.22,5.6,-1.13,2.2,-7.04,,,,,,,
460756.6997,4276563.578,7.2,-0.16,-0.1,-1.2,3.9,0.05,1.9,-3.05,5.7,-1.05,2.1,-7.01,,,,,,,
460756.6803,4276563.543,9,-0.2,0.5,-1.23,4.6,0.01,1.9,-3.04,5.9,-1.16,2,-7.03,,,,,,,
460756.6619,4276563.508,9.2,-0.21,-0.1,-1.22,4.6,0.04,1.6,-3.01,5.9,-1.18,1.9,-7.05,,,,,,,
460756.09,4276563.502,9.2,-0.21,-0.1,-1.24,4.8,0,1.7,-3.17,5.7,-1.2,1.9,-7.6,,,,,,,
460755.5182,4276563.494,9.2,-0.12,0,-1.27,4.5,0.1,2,-3.5,5.8,-1.11,2.2,-8.81,,,,,,,
460755.6181,4276563.468,10,0.32,-2.8,-1.37,3.7,0.21,1.4,-3.43,5.8,-0.95,3.7,-7.55,,,,,,,
460755.719,4276563.441,12.3,0.39,-4.1,-1.46,3.8,0.23,0.9,-4.07,5.8,-0.96,3.5,-9.78,,,,,,,
460754.9844,4276563.254,14.3,0.33,-6.9,-1.73,2.7,0.11,0.5,-5.49,5.2,-1.07,3.5,-16.26,,,,,,,
460754.2489,4276563.068,10.3,0.18,-7.3,-1.77,1.1,-0.06,2.6,-5.73,5.2,-1.13,4,-17.28,,,,,,,
460753.5142,4276562.881,4.9,0.07,-5.2,-1.76,0.9,-0.09,3.6,-5.82,5.2,-1.12,4.2,-17.18,,,,,,,
460753.1691,4276562.609,9,0.03,-4.9,-1.68,2.3,-0.06,2,-5.97,5.2,-1.02,3.8,-18.17,,,,,,,
460752.8249,4276562.338,11.5,0.05,-0.9,-1.55,4.1,0.07,2.5,-5.52,5.4,-0.87,4,-16.27,,,,,,,
460752.4797,4276562.067,10.3,0.06,0.9,-1.55,4.5,-0.05,2.3,-5.52,6,-0.8,4.1,-15.56,,,,,,,
460751.8334,4276561.435,9.5,0.02,2,-1.51,4.9,-0.19,3.1,-5.44,5.8,-0.82,4,-16.16,,,,,,,
460751.1863,4276560.804,10.1,0.01,1.9,-1.48,5.3,-0.16,3.2,-5.35,5.7,-0.87,4,-17.24,,,,,,,
460750.54,4276560.172,10.2,0,1.7,-1.48,4.6,-0.14,3.4,-4.95,5.7,-0.95,3.8,-15.36,,,,,,,
460750.0368,4276559.448,10.1,0,1.5,-1.48,5.3,-0.09,3.4,-4.97,6.1,-0.93,3.9,-14.33,,,,,,,
460749.5346,4276558.724,11.2,-0.01,1.1,-1.44,4.9,-0.18,3.6,-4.75,5.8,-0.89,4.4,-12.78,,,,,,,
460749.0314,4276558,11.5,-0.01,1.5,-1.48,5.6,-0.25,4,-4.96,6,-0.83,5.1,-15.24,,,,,,,
460748.5815,4276557.133,12.9,0,2.7,-1.56,6.3,-0.2,4.9,-5.59,6.2,-0.87,6,-16.99,,,,,,,
460748.1308,4276556.266,12.6,-0.01,3,-1.55,6,-0.17,4.9,-5.68,6.3,-0.92,5.8,-17.28,,,,,,,
460747.6809,4276555.399,13.2,0.03,1.8,-1.51,4.6,-0.24,5,-5.6,6.2,-0.82,5.5,-17.12,,,,,,,
460747.231,4276554.531,14.6,0.03,0.2,-1.52,4.4,-0.18,5.6,-5.37,6,-0.89,5.7,-16.31,,,,,,,
460746.7803,4276553.665,14.7,0.07,-1.2,-1.56,4.1,-0.11,5.6,-5.43,5.8,-1,6.1,-16.74,,,,,,,
460746.3304,4276552.798,13.8,0.06,-2.3,-1.59,4.3,-0.07,5.8,-5.71,5.9,-0.98,6.4,-18.35,,,,,,,
460745.8805,4276551.93,12.1,0.08,-2.3,-1.61,4.4,-0.05,5.6,-5.83,6.1,-1,6.4,-18.12,,,,,,,
460745.4297,4276551.063,6.7,0.18,1.8,-1.7,4.1,0.07,7.4,-6.09,5.9,-0.83,7,-18.07,,,,,,,
460744.9798,4276550.196,-49.3,1.18,-29.2,-1.22,-2.8,0.67,-3.4,-5.21,4.8,-0.38,4.5,-17.06,,,,,,,
460744.53,4276549.329,-15.4,0.3,-10,-1.62,2.1,0.11,-0.5,-5.28,6.3,-1.09,5.8,-15.66,,,,,,,
460744.0792,4276548.462,9,0.16,-6.3,-1.77,-3.2,0.43,2.9,-5.09,6.3,-1.27,6.1,-14.17,,,,,,,
460743.6293,4276547.595,8.8,0.18,-7.2,-1.79,2.8,-0.1,5.3,-5.2,6.1,-1.22,6,-14.09,,,,,,,
460743.1794,4276546.728,10.2,0.2,-7,-1.78,2.5,-0.1,5.2,-5.41,4.3,-0.36,6.1,-14.8,,,,,,,
460742.7287,4276545.86,11.3,0.17,-4.3,-1.75,4.2,-0.03,4.7,-5.78,6.4,-1.06,6.3,-17.49,,,,,,,
460742.2788,4276544.994,12.1,0.13,-5.8,-1.73,4.2,-0.02,3.5,-5.79,5.9,-0.96,6.1,-16.63,,,,,,,
460742.0422,4276544.495,12,0.19,-8.1,-1.79,3.1,-0.01,2.9,-5.83,5.8,-1.21,5.8,-17.26,,,,,,,
460741.8065,4276543.996,12.9,0.16,-5.2,-1.61,4.2,-0.04,3.8,-5.38,6.3,-1.06,6,-15.41,,,,,,,
460741.5699,4276543.498,14.2,0.05,-1.1,-1.55,5.1,-0.11,4.7,-5.34,6.9,-0.93,6.1,-16.06,,,,,,,
460741.1604,4276542.695,13.3,0.04,2.1,-1.5,6.7,-0.11,4.5,-5.39,7,-0.87,6.3,-16.56,,,,,,,
460740.7509,4276541.892,11.4,0.04,3.7,-1.5,6.9,-0.16,4.5,-5.53,7.3,-0.89,6.3,-16.52,,,,,,,
460740.3413,4276541.089,10.7,0.04,2.5,-1.51,7.7,-0.03,4.8,-5.65,7.3,-0.98,6.2,-17.04,,,,,,,
460739.8358,4276540.056,11.8,0.03,2.9,-1.48,6.7,-0.07,4,-5.67,7.1,-0.94,6.1,-17.33,,,,,,,
460739.3303,4276539.024,13,0.05,2.6,-1.51,5.9,-0.09,4.3,-5.64,7.1,-0.91,6.5,-17.77,,,,,,,
460738.8247,4276537.991,14.5,0.07,1.4,-1.51,4.7,-0.17,5.2,-5.3,7.3,-0.89,6.6,-15.07,,,,,,,
460738.3163,4276537.079,15.5,0.1,-0.4,-1.53,4.3,-0.13,5.7,-5.43,7.2,-0.93,6.7,-17.32,,,,,,,
460737.8088,4276536.167,14.3,0.12,-3.1,-1.61,4.1,-0.13,5.5,-5.71,7.1,-0.87,6.6,-17.86,,,,,,,
460737.3004,4276535.255,11.4,0.16,-4.4,-1.69,4.5,-0.01,5.2,-5.78,6.9,-1.03,6.6,-16.46,,,,,,,
460737.0691,4276534.77,12.2,0.25,-7.8,-1.8,4,-0.06,4.6,-5.58,6.4,-1.2,6.4,-16.37,,,,,,,
460736.8386,4276534.285,13.4,0.18,-5.7,-1.69,4.5,0,4.2,-5.7,6.2,-1.09,6.5,-17.1,,,,,,,
460736.6074,4276533.799,15.9,0.1,-2,-1.57,4.8,-0.05,6.2,-5.34,6.7,-0.91,6.7,-16.84,,,,,,,
460736.1572,4276533.064,13.6,0.05,2.1,-1.5,5,-0.26,5.3,-5.15,6.9,-0.81,6.6,-16.38,,,,,,,
460735.708,4276532.328,13,0.08,2.5,-1.5,5.4,-0.25,4.8,-5.24,7.4,-0.66,6.6,-16.48,,,,,,,
460735.2644,4276531.502,12.1,0.16,1.9,-1.47,4.7,-0.18,4.5,-5.23,7.4,-0.89,6.5,-16.04,,,,,,,
460734.8199,4276530.676,13.9,0.11,1.8,-1.48,4.8,-0.15,4.8,-5.15,7.4,-0.96,6.4,-15.75,,,,,,,
460734.3764,4276529.85,14.2,0.14,1.8,-1.49,5.9,-0.23,5.3,-5.27,7.6,-0.96,6.7,-16.4,,,,,,,
460734.0176,4276529.102,13.7,0.17,2.7,-1.45,7.1,-0.23,4.7,-5.21,7.7,-0.98,6.8,-16.36,,,,,,,
460733.6579,4276528.354,14.1,0.19,2.8,-1.46,6.9,-0.17,4.8,-5.35,7.7,-0.87,7,-16.57,,,,,,,
460733.2991,4276527.606,13.3,0.25,2.9,-1.42,7.3,-0.1,4.8,-5.23,7.8,-0.9,7.1,-15.42,,,,,,,
460732.8083,4276526.726,13,0.32,3.1,-1.41,7.8,-0.1,4.6,-5.28,8.1,-0.85,7.3,-16.87,,,,,,,
460732.3183,4276525.847,14,0.35,3.6,-1.39,7.4,-0.15,5.7,-5.26,8.2,-0.89,7.8,-16.91,,,,,,,
460731.8274,4276524.968,14.9,0.32,3.1,-1.45,7.1,-0.15,6.2,-5.46,8.4,-0.78,8.2,-18.61,,,,,,,
460731.3812,4276524.139,15.5,0.33,3.5,-1.39,7.5,-0.15,6.7,-5.28,8.7,-0.85,8.3,-17.15,,,,,,,
460730.9359,4276523.31,16.1,0.29,4,-1.37,9.3,-0.15,7.3,-4.99,9.4,-0.8,8.9,-16.09,,,,,,,
460730.4897,4276522.481,17,0.27,4.7,-1.41,10,-0.12,7.7,-5.09,10,-0.81,9.4,-15.18,,,,,,,
460730.0767,4276521.69,18.1,0.24,5.5,-1.43,9.2,-0.24,9.2,-5.38,10,-0.82,10.2,-17.41,,,,,,,
460729.6646,4276520.9,20.1,0.17,8.1,-1.44,7.6,-0.27,11.9,-5.38,8.8,-0.84,11.1,-17.71,,,,,,,
460729.1676,4276520.01,21.6,0.14,8.5,-1.44,7.8,-0.33,13.8,-5.58,7.2,-0.81,11.1,-17.43,,,,,,,
460728.6697,4276519.12,21.1,0.15,8.1,-1.41,8.8,-0.11,14.2,-5.57,5.7,-0.83,11.7,-16.67,,,,,,,
460728.1727,4276518.23,21.5,0.16,6,-1.43,10.6,-0.01,13.6,-5.63,6,-0.95,13.2,-16.94,,,,,,,
460727.7096,4276517.313,22,0.21,3,-1.47,12.1,-0.06,12.6,-5.65,8.4,-0.98,15.3,-17.01,,,,,,,
460727.2464,4276516.397,22.2,0.27,0.8,-1.53,12.6,-0.11,11.1,-5.71,11.3,-0.99,15.9,-17.52,,,,,,,
460726.8491,4276515.6,21.1,0.32,-2.6,-1.68,12.1,-0.18,10.5,-5.91,13.5,-1.02,15.4,-18.65,,,,,,,
460726.4509,4276514.804,18.3,0.27,-2.7,-1.68,11,-0.2,10.2,-5.64,14.1,-1.06,13.9,-17.21,,,,,,,
460726.0535,4276514.008,17,0.24,-0.8,-1.68,10.6,-0.15,9.7,-5.35,13.6,-1.22,12.6,-15.56,,,,,,,
460725.9588,4276513.67,16.3,0.21,-1.4,-1.7,9.5,-0.29,10,-5.18,12.7,-1.32,12,-13.77,,,,,,,
460725.8631,4276513.333,20.1,0.31,0.6,-1.6,11.4,0.13,9,-5.58,12.2,-1.17,11.1,-16.11,,,,,,,
460725.7683,4276512.995,18.1,0.12,5.2,-1.46,12.7,0.18,9.2,-5.81,11.9,-0.86,11.8,-17.74,,,,,,,
460725.2798,4276512.242,17.9,0.12,5.6,-1.4,14.2,0.3,9.3,-5.44,12.5,-0.79,12.7,-16.5,,,,,,,
460724.7922,4276511.487,17.9,0.12,6.2,-1.45,14.7,0.31,10,-5.2,13.1,-0.87,13,-15.1,,,,,,,
460724.3249,4276510.629,19.2,0.11,7.4,-1.46,14.9,0.22,11.5,-5.16,13.1,-0.93,13.1,-14.19,,,,,,,
460723.8577,4276509.77,21.7,0.08,8.2,-1.48,14.7,0.01,13,-5.41,12.6,-0.94,13.5,-16.61,,,,,,,
460723.3904,4276508.911,23.1,0.09,9.6,-1.47,14.6,0.05,14.7,-5.39,11.6,-0.88,14.2,-15.78,,,,,,,
460723.0052,4276508.104,23.3,0.11,10.3,-1.5,13.3,0.06,15.4,-5.39,10.5,-0.83,14.6,-15.71,,,,,,,
460722.62,4276507.296,25.5,0.2,8.5,-1.54,11.5,0.01,16.3,-5.68,9.6,-0.96,14.7,-17.09,,,,,,,
460722.2349,4276506.489,26.1,0.22,8.1,-1.56,11.2,-0.01,17.3,-5.52,9,-0.99,15,-15.75,,,,,,,
460721.8505,4276505.68,26.8,0.19,8.5,-1.57,12.5,-0.05,17.8,-5.63,8.8,-0.94,15.5,-17.41,,,,,,,
460721.4653,4276504.873,27.4,0.18,9,-1.54,13.2,-0.01,17.7,-5.57,9,-0.9,16.1,-16.59,,,,,,,
460721.0801,4276504.065,28,0.2,9.5,-1.55,12.9,0.01,17.4,-5.58,9.3,-1.02,15.9,-15.59,,,,,,,
460720.695,4276503.258,30.2,0.24,8.2,-1.54,13.2,-0.04,18.3,-5.69,9.2,-0.97,15.9,-16.6,,,,,,,
460720.3098,4276502.45,29.3,0.17,8.6,-1.54,13.2,-0.03,19.4,-5.62,8.1,-0.91,15.7,-17.54,,,,,,,
460719.9246,4276501.643,27.6,0.19,9.3,-1.55,13.2,-0.01,19.6,-5.82,7.6,-0.94,15.9,-16.78,,,,,,,
460719.5403,4276500.835,25.2,0.17,8.2,-1.52,13.6,0.09,17.2,-5.91,7.9,-0.89,16,-17.33,,,,,,,
460719.1551,4276500.028,22.1,0.15,7.1,-1.48,13,0.15,14.5,-5.66,8.7,-0.85,15.8,-16.51,,,,,,,
460718.7699,4276499.22,20.9,0.13,5.9,-1.46,12.1,0.16,12.8,-5.69,10.2,-0.89,15.4,-16.19,,,,,,,
460718.3565,4276498.525,20.1,0.11,4.7,-1.47,11.9,0.07,11.5,-5.57,11.6,-0.87,14.2,-17.21,,,,,,,
460717.9423,4276497.83,20.1,0.12,4.2,-1.48,11.2,-0.08,10.5,-5.53,11.7,-0.92,13.4,-16.79,,,,,,,
460717.5289,4276497.135,19.2,0.13,4.4,-1.49,10.3,-0.05,9.1,-5.53,11.6,-0.92,12.5,-16.04,,,,,,,
460717.2475,4276496.541,19.1,0.11,4.5,-1.48,11.2,-0.01,9.1,-5.44,11.8,-0.96,11.7,-16.03,,,,,,,
460716.9652,4276495.946,18.6,0.08,4,-1.49,10.9,-0.09,8.5,-5.47,11.5,-0.94,10.8,-16.45,,,,,,,
460716.6837,4276495.352,16.4,0.05,4.8,-1.47,12,0.02,7.6,-5.46,11.1,-0.87,10.4,-16.88,,,,,,,
460716.2163,4276494.452,14.9,0.05,4.8,-1.48,12,0.07,7.3,-5.25,10.9,-0.89,10,-15.67,,,,,,,
460715.7488,4276493.553,14.4,0.06,4.1,-1.5,11.3,0.12,6.6,-5.35,10.9,-0.88,9.4,-14.95,,,,,,,
460715.2814,4276492.654,14.3,0.06,4,-1.49,11.1,0.18,5.4,-5.41,10.8,-1,9.3,-15.42,,,,,,,
460714.843,4276491.836,14.1,0.07,4,-1.49,8.5,0.23,5,-5.63,10.7,-0.97,8.9,-16.82,,,,,,,
460714.4056,4276491.018,13.8,0.08,3.8,-1.49,9.1,0.24,5.5,-5.42,10.7,-0.9,9,-14.68,,,,,,,
460713.9672,4276490.199,14.2,0.06,3.7,-1.49,9.2,0.2,4.8,-5.46,10.8,-0.89,8.6,-15.58,,,,,,,
460713.4468,4276489.326,14.1,0.06,3.9,-1.5,8.9,0.12,4.7,-5.5,10.7,-0.89,8.5,-16.25,,,,,,,
460712.9255,4276488.453,14.5,0.07,4,-1.5,8.5,0,5.3,-5.46,10.6,-0.88,8.6,-15.56,,,,,,,
460712.4051,4276487.579,14.4,0.08,3.9,-1.51,8.6,0.05,5.6,-5.53,10.5,-0.91,8.3,-16.41,,,,,,,
460711.9186,4276486.693,14.7,0.09,3.8,-1.52,8.7,-0.01,5.5,-5.63,10.4,-0.9,8.4,-16.97,,,,,,,
460711.4312,4276485.807,14.3,0.1,4.1,-1.49,9.2,0.1,5.9,-5.66,10.6,-0.88,8.6,-16.34,,,,,,,
460710.9446,4276484.921,14.6,0.12,4.7,-1.47,9,0.19,6.3,-5.43,10.5,-0.85,8.5,-15.77,,,,,,,
460710.4833,4276484.023,14.9,0.13,4.9,-1.46,8.1,0.2,6.5,-5.31,9.9,-0.86,8.1,-15.45,,,,,,,
