x,y,Z,Log(Conductivity mS/m),conductivity
460743.36679999996,4276546.9545,-0.5,0.6965558218082292,4.9722828058831645
460742.07938,4276544.460899999,-0.5,0.713709522848262,5.172607472221821
460740.79202999995,4276541.9804,-0.5,0.7115224082481033,5.146623613100444
460739.50538999995,4276539.504000001,-0.5,0.6901934875159563,4.8999707496315414
460738.21929000004,4276537.0317,-0.5,0.6883474316257868,4.879186644975355
460737.54089,4276535.7472,-0.5,0.6860390984179358,4.853321914073611
460736.86756,4276534.4682,-0.5,0.6616832918562267,4.588632659281488
460736.19922,4276533.194700001,-0.5,0.6692727211560296,4.669525174807647
460735.54555000004,4276531.9497,-0.5,0.6689677770933516,4.666247573465978
460734.89335,4276530.7199,-0.5,0.6754044536911138,4.735921047887786
460734.24271,4276529.5055,-0.5,0.7171315628422396,5.2135262295418805
460733.80973,4276528.6959,-0.5,0.7334726672163553,5.413431768038002
460733.37704999995,4276527.877,-0.5,0.7514618903239674,5.642374269029068
460732.94419999997,4276527.0578,-0.5,0.7842827963328073,6.085311250161204
460732.51118000003,4276526.2383,-0.5,0.8270407221249559,6.714918131815045
460732.08121,4276525.4223,-0.5,0.8830115411900292,7.638560824565225
460731.64590999996,4276524.6021,-0.5,0.9630488149013686,9.184358232949844
460729.94849,4276521.301899999,-0.5,0.9818425183268045,9.59052801568894
460728.24020999996,4276517.9865,-0.5,0.9991243377639234,9.979857445294803
460726.53426,4276514.6692,-0.5,1.0073171220793906,10.169910292424369
460724.83056999993,4276511.3499,-0.5,1.0055241809901365,10.128011387839612
460723.13213,4276508.0367,-0.5,1.011389882612911,10.265731062773662
460721.43457000004,4276504.7246,-0.5,1.0107485146215756,10.250581775237983
460719.73769999994,4276501.413500001,-0.5,1.0043370956182853,10.100365635348412
460718.03341,4276498.097999999,-0.5,0.9933427713813321,9.84788053201605
460716.31828999997,4276494.7743,-0.5,0.972224650985435,9.380471125916817
460714.59234,4276491.4422,-0.5,0.9089126639114631,8.107979909749156
460714.11583,4276490.576300001,-0.5,0.8981749108542151,7.909971356791818
460713.63732000004,4276489.7118,-0.5,0.8913898261129737,7.787352362397822
460713.1569,4276488.8486,-0.5,0.9034989836615187,8.007537545758982
460712.67709,4276487.9855,-0.5,0.9230455228348775,8.376170767158044
460712.19507,4276487.1144,-0.5,0.9334620630212532,8.579501668238185
460711.71064999996,4276486.2353,-0.5,0.9437944256892603,8.786065279250598
460711.23104,4276485.359300001,-0.5,0.9522873572522228,8.95957392690747
460710.76443999994,4276484.4918,-0.5,0.9563068365699663,9.042881433084496
460710.31093,4276483.6327,-0.5,0.9636098992713378,9.19623158231464
460709.855,4276482.777,-0.5,0.9697774575020678,9.32776202297478
460709.3933499999,4276481.9258,-0.5,0.9850033917099223,9.660584235875064
460708.9259699999,4276481.0791,-0.5,1.0095085057162276,10.221355790677434
460708.46865,4276480.241699999,-0.5,1.0176410129918818,10.41456207742824
460708.01894999994,4276479.4147,-0.5,1.014886104686488,10.348707324606352
460707.5767,4276478.5981,-0.5,1.030339938201532,10.723583509864246
460707.12867999997,4276477.7937,-0.5,1.045449442720053,11.103232723694976
460706.66779,4276476.990499999,-0.5,1.0849208831256145,12.159644641655964
460706.19402,4276476.1885,-0.5,1.1305544743079268,13.506862361406835
460705.71375,4276475.3904,-0.5,1.171064325235814,14.827376835799324
460705.24231,4276474.601299999,-0.5,1.2030747720548074,15.961539318376103
460704.7797,4276473.8213,-0.5,1.2279394920906928,16.902054280258756
460704.32474999997,4276473.0223,-0.5,1.2500997690078863,17.786879751028668
460703.86167,4276472.199599999,-0.5,1.2763950299776778,18.89709428663507
460703.39029,4276471.3532,-0.5,1.3051655854839108,20.191360623684744
460702.90062,4276470.4865,-0.5,1.3231585540699393,21.045466363345135
460702.40597,4276469.5976,-0.5,1.339104540308942,21.832553864561223
460701.90632999997,4276468.6865,-0.5,1.3427087992148012,22.014498638217276
460701.40038999997,4276467.7491999995,-0.5,1.3365279073884822,21.703406633049006
460700.88177,4276466.7832,-0.5,1.317560712122527,20.77594142189093
460700.35056,4276465.7884,-0.5,1.2944650263037607,19.699945573412446
460699.81813,4276464.7742,-0.5,1.2546427246211869,17.97391669986971
460699.28574,4276463.768700001,-0.5,1.2004893598186075,15.866800449363486
460698.67776,4276462.6296999995,-0.5,1.1370653435583333,13.710880433239273
460697.81421,4276461.025599999,-0.5,1.0721768673946668,11.808014217524207
460696.96978000004,4276459.450200001,-0.5,1.025067275228263,10.594178236377978
460696.14446,4276457.903600001,-0.5,0.9811480355534337,9.575204003475307
460695.32605,4276456.3633,-0.5,0.9426442399800413,8.762827045508553
460694.51578,4276454.8333,-0.5,0.9105659131125332,8.138903759958547
460693.7137399999,4276453.313399999,-0.5,0.9034211455227257,8.00610249191368
460692.92076,4276451.8113,-0.5,0.9119671937188563,8.165206896652212
460692.1253699999,4276450.3175,-0.5,0.9490225572074414,8.8924730406528
460691.32759,4276448.8319999995,-0.5,0.9878518598223235,9.724154710648804
460690.60156,4276447.494,-0.5,1.0234876834694417,10.555715669299369
460690.12734,4276446.635199999,-0.5,1.0511859530484613,11.250866022372977
460689.64031999995,4276445.7584,-0.5,1.0523568064911735,11.28123916554055
460689.16632,4276444.892399999,-0.5,1.0403842235026004,10.97448687655149
460688.71764000005,4276444.059699999,-0.5,1.0334523179515394,10.80071031241346
460688.29426999995,4276443.2603,-0.5,1.0383846167088788,10.924073580125087
460687.87971,4276442.4804,-0.5,1.057249205500837,11.409042698853309
460687.47320999997,4276441.7123,-0.5,1.0790315149894143,11.995863491078842
460687.07469,4276440.9561,-0.5,1.0954466214862013,12.457951089649953
460686.68551000004,4276440.2057,-0.5,1.0996856296110598,12.58014450036968
460686.30708,4276439.4639,-0.5,1.1055876777340896,12.752275238319868
460685.93938999996,4276438.7308,-0.5,1.1047436396125259,12.72751564665636
460685.58099,4276438.0095,-0.5,1.107952771218687,12.82191138983017
460685.20605999994,4276437.2713,-0.5,1.1075891442712384,12.811180327453496
460684.81450000004,4276436.5161,-0.5,1.0977872623899796,12.525274785068646
460684.39184,4276435.735400001,-0.5,1.0756953098399789,11.90406555491819
460683.95449000003,4276434.943,-0.5,1.0306513680194571,10.73127608138911
460683.50237999996,4276434.1391,-0.5,0.978775423039002,9.523035932885985
460683.07292999997,4276433.359100001,-0.5,0.9187807242846061,8.29431880794489
460682.66486,4276432.6091,-0.5,0.9092448041415248,8.114183111631656
460682.27809,4276431.8891,-0.5,0.9044947504270596,8.02591859413946
460681.88749,4276431.1681,-0.5,0.9078251188501515,8.087701590590255
460681.49442999996,4276430.443,-0.5,0.9080933100491594,8.092697556105012
460681.09900000005,4276429.7137,-0.5,0.9310231937434189,8.531456755302173
460680.70719999995,4276428.9956,-0.5,0.9459943674807053,8.830684475161412
460680.3335,4276428.297099999,-0.5,0.967002764339105,9.26835722786745
460679.97801,4276427.6184,-0.5,0.991594265562131,9.8083118501988
460679.6412000001,4276426.9523,-0.5,1.0108669922377913,10.25337856454823
460679.28575,4276426.2634,-0.5,1.0495300341565814,11.20804934068094
460678.91156000004,4276425.5517,-0.5,1.0434902103080066,11.053255532968002
460678.52053999994,4276424.8160999995,-0.5,1.0465460771638542,11.131304858865091
460678.13772999996,4276424.0875,-0.5,1.0333551207675258,10.798293332218602
460677.76331,4276423.365900001,-0.5,1.0208424715737257,10.491618049220175
460677.38688,4276422.6427,-0.5,0.9996251195903312,9.991371784018472
460677.00253,4276421.9027,-0.5,0.9846524864198652,9.652781739869022
460676.61026999995,4276421.145900001,-0.5,0.9694464788654333,9.320655983264919
460676.21073000005,4276420.3773,-0.5,0.9559722236648206,9.035916805219214
460675.80351,4276419.604,-0.5,0.9461100951911778,8.83303792682277
460675.3885100001,4276418.8261,-0.5,0.9226858876558445,8.369237409983853
460674.96670000005,4276418.0427,-0.5,0.9632849002864787,9.189352268786857
460674.49226,4276417.1764,-0.5,0.980206248997403,9.554462253128047
460674.00839,4276416.3033,-0.5,0.9791308482272388,9.53083274445681
460673.51491,4276415.4234,-0.5,0.9765094283953226,9.473477508999125
460673.02222,4276414.5453,-0.5,0.980099766358988,9.552119926255223
460672.53024000005,4276413.6688,-0.5,0.9756734144128849,9.455258669147886
460672.0390500001,4276412.7941,-0.5,0.967945004637394,9.288487578188823
460671.54793,4276411.9161,-0.5,0.960326790564397,9.126973520983658
460671.05669999996,4276411.034700001,-0.5,0.9557848291260423,9.032018721622391
460670.56555000006,4276410.149900001,-0.5,0.9514747716187659,8.942825811062445
460670.07351,4276409.2626,-0.5,0.9051924997727697,8.03882361760071
460669.62448999996,4276408.4514,-0.5,0.8371717113260077,6.873401468026882
460669.17547,4276407.6401,-0.5,0.8013904747721904,6.329807094428318
460668.72654,4276406.8288,-0.5,0.7982778360296772,6.284602821085123
460668.27725,4276406.0142,-0.5,0.7832135597750153,6.070347592096745
460667.8275,4276405.1964,-0.5,0.7801972456135783,6.0283331561539155
460667.37739000004,4276404.3752999995,-0.5,0.778566941114231,6.005745729039034
460666.92859,4276403.5564,-0.5,0.77524445793008,5.959975273076903
460666.4812,4276402.7398,-0.5,0.7714677521873764,5.908370923227884
460666.03512,4276401.925399999,-0.5,0.7546097404437822,5.683419858834928
460665.5878,4276401.104900001,-0.5,0.7450740710822303,5.559990775900034
460665.13931999996,4276400.2782000005,-0.5,0.7501865895870825,5.625829805270164
460664.68958999997,4276399.445499999,-0.5,0.7739654453840678,5.9424487567458355
460664.23615000007,4276398.601899999,-0.5,0.7519709480576603,5.648991848606458
460663.77945,4276397.7507,-0.5,0.7468088193861263,5.5822440488166
460663.31950000004,4276396.8919,-0.5,0.7422756973867387,5.524280185199795
460662.86145,4276396.032,-0.5,0.7480883824590444,5.598715283114663
460662.40372,4276395.1654,-0.5,0.6971834501733268,4.9794737833087614
460661.94622,4276394.2922,-0.5,0.6981444941002108,4.990504989137647
460661.49737999996,4276393.427499999,-0.5,0.7144148965444762,5.18101555941368
460661.05967,4276392.5797,-0.5,0.7110624191059812,5.141175379715241
460660.63318,4276391.748799999,-0.5,0.7244125820172904,5.301668660079614
460660.20083,4276390.91,-0.5,0.7271862933918042,5.335637219721748
460659.76515,4276390.0681,-0.5,0.7319823046933678,5.394886406300126
460659.27479999996,4276389.1355,-0.5,0.8006772679707879,6.319420693450149
460658.78176999994,4276388.2074,-0.5,0.7940390523068679,6.223562457106603
460658.28091000003,4276387.2772,-0.5,0.7807916935000963,6.036590188377755
460657.77413,4276386.3475,-0.5,0.8260531899349562,6.699666581238576
460657.2616,4276385.4182,-0.5,0.8308892353269173,6.774687005124563
460656.73481,4276384.4742,-0.5,0.8227070267599561,6.648245170566806
460656.20383,4276383.5085,-0.5,0.8292523626168092,6.749201006639965
460655.66865,4276382.5211,-0.5,0.8344589492295802,6.830601501069553
460655.14627,4276381.5368,-0.5,0.8302962481007053,6.765443135697351
460654.62429999997,4276380.5641,-0.5,0.8383847173952352,6.892626055000645
460654.15409,4276379.6907,-0.5,0.7883306464686719,6.142294656561111
460653.68363,4276378.8213,-0.5,0.7971724376702569,6.268627126163875
460653.21672,4276377.9489,-0.5,0.8042142759670879,6.371097861098429
460652.75135000004,4276377.0709999995,-0.5,0.7929244375618097,6.207610192795562
460652.28744,4276376.1876,-0.5,0.7791082908271434,6.013236581504318
460651.82545999996,4276375.3065,-0.5,0.777417345014705,5.989869284881948
