x,y,layer1,layer2,layer3,depth1,depth2
460747.59799,4276553.6925,1.5592103194444267,9.70838853466954,6.72381786854784,0.5,1.5
460745.80295000004,4276551.4045,0.7008580764031513,10.37366625892046,6.96038864497393,0.5,1.5
460744.48801,4276549.1002,0.8763840983082944,10.677467820011636,7.0726404333394575,0.5,1.5
460743.36679999996,4276546.9545,0.8935202509517233,11.078784044433979,7.140069675335858,0.5,1.5
460742.07938,4276544.4609,1.000075632889012,11.23166396634804,7.1868842855316775,0.5,1.5
460740.79202999995,4276541.980400001,1.0030532467064146,11.137953119401578,7.300618909740384,0.5,1.5
460739.50538999995,4276539.504,0.9094893104231885,11.01894670427331,7.413843546358436,0.5,1.5
460738.21929000004,4276537.0317,0.8889513346445829,11.021551737591153,7.559476231584271,0.5,1.5
460737.54089,4276535.7472,0.8958403570981329,11.075113460472014,7.580864966974199,0.5,1.5
460736.86756,4276534.4682,0.759255380921048,11.299925383525931,7.614845513802215,0.5,1.5
460736.19922,4276533.194700001,0.7981856576793531,11.48816613068921,7.606561459330652,0.5,1.5
460735.54555000004,4276531.9497,0.7839416662608617,11.658630691495118,7.681538463819326,0.5,1.5
460734.89335,4276530.7199,0.779612619429444,11.71213410014452,7.848167145390933,0.5,1.5
460734.24271,4276529.5055,0.9538145117685373,11.721536458910569,8.023740544086285,0.5,1.5
460733.80973000004,4276528.6959,1.005291852295951,11.881437914999704,8.23227524546977,0.5,1.5
460733.37704999995,4276527.876999999,1.0749531536030363,12.196598317341032,8.38551261152815,0.5,1.5
460732.94419999997,4276527.0578000005,1.1961893700936421,12.722106230500586,8.655558680020924,0.5,1.5
460732.51118000003,4276526.2383,1.3959187196124125,13.16327166619936,9.02135005275217,0.5,1.5
460732.08121,4276525.4223,1.7768026959097964,13.608050540861655,9.280708545893749,0.5,1.5
460731.64590999996,4276524.6021,2.5256465307304334,14.293534488388767,9.21500555606163,0.5,1.5
460729.94849,4276521.3019,2.6231049989513044,14.67169839793213,9.691149791063351,0.5,1.5
460728.24020999996,4276517.986500001,2.721658994786205,14.969607043040787,10.130958790679705,0.5,1.5
460726.53426,4276514.669199999,2.7485847879236327,15.19821599314479,10.509232239620346,0.5,1.5
460724.83056999993,4276511.3499,2.646459581157492,15.257589563788146,10.931191850447698,0.5,1.5
460723.13213,4276508.0367,2.6725454768480073,15.037283665989506,11.266455126867028,0.5,1.5
460721.4345699999,4276504.7246,2.6262130506823573,14.812680318107438,11.590751485883347,0.5,1.5
460719.73770000006,4276501.4135,2.5416370931759613,14.44887353054594,11.81642031154377,0.5,1.5
460718.03341,4276498.098,2.4298402020576484,13.98460480769441,11.9511746897742,0.5,1.5
460716.31829,4276494.7743,2.2050211506028523,13.458493867118912,12.108643611597218,0.5,1.5
460714.59234,4276491.4421999995,1.5558515788182292,12.7566245231433,12.517109269365154,0.5,1.5
