x,y,Z,Log(Conductivity mS/m),conductivity
460747.59799,4276553.6925,-0.5,0.1929047004444419,1.5592103194444267
460745.80295000004,4276551.4045,-0.5,-0.15436991766136435,0.7008580764031513
460744.48801,4276549.1002,-0.5,-0.057305511165661294,0.8763840983082944
460743.36679999996,4276546.9545,-0.5,-0.04889560009519047,0.8935202509517233
460742.07938,4276544.4609,-0.5,3.284570425617889e-05,1.000075632889012
460740.79202999995,4276541.980400001,-0.5,0.0013239879924820776,1.0030532467064146
460739.50538999995,4276539.504,-0.5,-0.041202401000173396,0.9094893104231885
460738.21929000004,4276537.0317,-0.5,-0.051122013691005615,0.8889513346445829
460737.54089,4276535.7472,-0.5,-0.047769376731439044,0.8958403570981329
460736.86756,4276534.4682,-0.5,-0.11961212150908768,0.759255380921048
460736.19922,4276533.194700001,-0.5,-0.09789608016847735,0.7981856576793531
460735.54555000004,4276531.9497,-0.5,-0.10571625232009696,0.7839416662608617
460734.89335,4276530.7199,-0.5,-0.10812113966188691,0.779612619429444
460734.24271,4276529.5055,-0.5,-0.020536074297775,0.9538145117685373
460733.80973000004,4276528.6959,-0.5,0.0022921626929543813,1.005291852295951
460733.37704999995,4276527.876999999,-0.5,0.03138953813533412,1.0749531536030363
460732.94419999997,4276527.0578000005,-0.5,0.07779993874638873,1.1961893700936421
460732.51118000003,4276526.2383,-0.5,0.14486013128750422,1.3959187196124125
460732.08121,4276525.4223,-0.5,0.24963920448788493,1.7768026959097964
460731.64590999996,4276524.6021,-0.5,0.4023725700931076,2.5256465307304334
460729.94849,4276521.3019,-0.5,0.41881567509377937,2.6231049989513044
460728.24020999996,4276517.986500001,-0.5,0.4348337101545997,2.721658994786205
460726.53426,4276514.669199999,-0.5,0.43910913855821865,2.7485847879236327
460724.83056999993,4276511.3499,-0.5,0.42266526548605776,2.646459581157492
460723.13213,4276508.0367,-0.5,0.42692510403090134,2.6725454768480073
460721.4345699999,4276504.7246,-0.5,0.41932995518168265,2.6262130506823573
460719.73770000006,4276501.4135,-0.5,0.40511354004858585,2.5416370931759613
460718.03341,4276498.098,-0.5,0.3855777132499376,2.4298402020576484
460716.31829,4276494.7743,-0.5,0.3434127595843804,2.2050211506028523
460714.59234,4276491.4421999995,-0.5,0.19196816490645477,1.5558515788182292
460714.1158299999,4276490.5763,-0.5,0.18211104945990803,1.5209363847125286
460713.6373199999,4276489.7118,-0.5,0.1796023351005333,1.5121759793888394
460713.1569,4276488.8486,-0.5,0.2202634141007225,1.6605938076250206
460712.67709,4276487.9855,-0.5,0.27998728959000574,1.9054049520404532
460712.19507,4276487.1144,-0.5,0.3087701104550142,2.035964074705156
460711.71064999996,4276486.2353,-0.5,0.33246774133916374,2.1501449642710884
460711.23104,4276485.359300001,-0.5,0.35685895995656813,2.2743586975955807
460710.76443999994,4276484.491800001,-0.5,0.36650034047068014,2.325414308910774
460710.31093,4276483.6327,-0.5,0.38156941864419214,2.407517311485614
460709.855,4276482.777,-0.5,0.39677074137233603,2.4932782090900094
460709.39335,4276481.9258,-0.5,0.4265888597355601,2.670477109818533
460708.92597000004,4276481.0791,-0.5,0.47400167033502943,2.978527885089122
460708.46865,4276480.2417,-0.5,0.4897564496642125,3.0885628949800594
460708.01895000006,4276479.4147,-0.5,0.4900758528002905,3.0908352230100484
460707.5767,4276478.5981,-0.5,0.5150554152602903,3.2738246567702114
460707.12867999997,4276477.7937,-0.5,0.5360044501146818,3.4356146827640424
460706.66779,4276476.9905,-0.5,0.5916211663312462,3.9050011519846546
460706.19402,4276476.1885,-0.5,0.6582873084100692,4.552891580244581
460705.71375,4276475.3904,-0.5,0.7135299411390783,5.1704690299811125
460705.24231,4276474.6013,-0.5,0.753719986201029,5.671787957879061
460704.7797,4276473.8213,-0.5,0.7828454757713502,6.065204880573151
460704.17432000005,4276472.7165,-0.5,0.8061138758184837,6.399026015558338
460703.55065,4276471.5912,-0.5,0.8331328184114286,6.809775872946802
460702.9086,4276470.445499999,-0.5,0.8619127348539593,7.276335824840086
460702.24694,4276469.2754,-0.5,0.8744931082467488,7.4901947234006645
460701.57897,4276468.0792000005,-0.5,0.8779181085378991,7.549498593426422
460700.90468,4276466.8568,-0.5,0.8543740570054235,7.151119854877052
460700.23553999997,4276465.6175999995,-0.5,0.7988211907003071,6.292470536362393
460699.56517,4276464.359,-0.5,0.7275342025979779,5.339913260805949
460698.81811,4276462.9388999995,-0.5,0.6526561056762338,4.494238395130062
460697.81421,4276461.025599999,-0.5,0.573919179081394,3.749032273714419
460696.96978000004,4276459.4502,-0.5,0.502029648584468,3.1770909581266316
460696.14446,4276457.9036,-0.5,0.4251900028370117,2.661889375567313
460695.32605,4276456.3633,-0.5,0.3475737113445171,2.2262488664756392
460694.51578,4276454.8333,-0.5,0.27198801110756693,1.8706305000656462
460693.7137399999,4276453.313399999,-0.5,0.23836562362695943,1.7312732693546702
460692.92076,4276451.8113,-0.5,0.24250886253665932,1.747868930369486
