rms_ap_rm1
1.05
1.0
1.01
1.01
1.0
1.02
1.06
1.03
1.18
1.0
1.0
1.0
1.0
1.0
1.24
1.0
1.03
1.01
1.0
1.02
1.0
1.0
1.0
1.32
1.17
1.0
1.0
1.0
1.0
1.02
1.0
1.0
0.75
1.0
1.0
1.0
1.01
1.0
1.0
1.01
1.0
1.0
1.0
1.0
1.0
1.0
1.01
1.0
1.0
1.0
1.0
1.0
1.01
1.0
1.01
1.01
1.01
1.02
1.01
1.0
1.0
1.0
1.0
1.0
