Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,56.0,50.0,44.0,62.0,1.16,0.0,-72.934,2374.868,-37.7,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,478691.9623,3617287.556,1
,Mixed / non conventional,56.0,50.0,60.5,44.0,1.13,0.0,89.473,2374.868,29.87,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,45.5,60.5,1.1,0.0,-105.596,2374.868,-24.74,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,59.0,45.5,1.04,0.0,137.498,2374.868,17.99,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,47.0,59.0,1.0,0.0,-167.155,2374.868,-14.14,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,57.5,47.0,0.82,0.0,235.238,2374.868,8.32,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,54.5,48.5,0.68,0.0,250.053,2374.868,6.43,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,51.5,54.5,0.67,0.0,-224.209,2374.868,-7.07,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,53.0,51.5,0.73,0.0,123.219,2374.868,14.14,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
,Mixed / non conventional,56.0,50.0,48.5,57.5,0.75,0.0,-301.602,2374.868,-5.89,0,,1/28/2024 5:27:18 PM,0,1900-01-01 17:27:18,,,0
