Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,23.0,17.0,11.0,29.0,1.15,0.0,-71.217,2331.174,-37.7,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,478697.9099,3617337.861,1
,Mixed / non conventional,23.0,17.0,20.0,18.5,1.15,0.0,189.263,2331.174,14.14,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,18.5,21.5,0.85,0.0,-280.265,2331.174,-7.07,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,21.5,15.5,0.65,0.0,234.259,2331.174,6.43,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,15.5,24.5,0.73,0.0,-287.029,2331.174,-5.89,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,24.5,14.0,0.8,0.0,223.371,2331.174,8.32,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,14.0,26.0,0.97,0.0,-159.561,2331.174,-14.14,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,26.0,12.5,1.01,0.0,131.459,2331.174,17.99,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,12.5,27.5,1.07,0.0,-100.451,2331.174,-24.74,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
,Mixed / non conventional,23.0,17.0,27.5,11.0,1.1,0.0,85.525,2331.174,29.87,0,,1/28/2024 5:26:01 PM,0,1900-01-01 17:26:01,,,0
