Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,0.0,-6.0,3.0,-10.5,1.13,0.0,150.224,2383.032,17.99,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,478700.7171,3617375.017,1
,Mixed / non conventional,0.0,-6.0,-12.0,6.0,1.26,0.0,-79.873,2383.032,-37.7,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,4.5,-12.0,1.22,0.0,97.16,2383.032,29.87,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-10.5,4.5,1.2,0.0,-115.792,2383.032,-24.74,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-9.0,3.0,1.09,0.0,-183.655,2383.032,-14.14,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-1.5,-7.5,0.7,0.0,261.258,2383.032,6.43,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-7.5,1.5,0.8,0.0,-324.718,2383.032,-5.89,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-3.0,-4.5,0.8,0.0,134.911,2383.032,14.14,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,1.5,-9.0,0.88,0.0,253.058,2383.032,8.32,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
,Mixed / non conventional,0.0,-6.0,-4.5,-1.5,0.69,0.0,-233.964,2383.032,-7.07,0,,1/28/2024 5:25:06 PM,0,1900-01-01 17:25:06,,,0
