Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,48.0,42.0,37.5,52.5,1.18,0.0,-111.023,2330.173,-24.74,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,478692.6372,3617300.667,1
,Mixed / non conventional,48.0,42.0,51.0,37.5,1.11,0.0,143.427,2330.173,17.99,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,36.0,54.0,1.25,0.0,-77.402,2330.173,-37.7,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,52.5,36.0,1.21,0.0,94.051,2330.173,29.87,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,39.0,51.0,1.06,0.0,-174.177,2330.173,-14.14,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,49.5,39.0,0.86,0.0,242.183,2330.173,8.32,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,40.5,49.5,0.79,0.0,-311.123,2330.173,-5.89,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,46.5,40.5,0.71,0.0,257.556,2330.173,6.43,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,43.5,46.5,0.72,0.0,-238.763,2330.173,-7.07,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
,Mixed / non conventional,48.0,42.0,45.0,43.5,0.83,0.0,136.175,2330.173,14.14,0,,1/28/2024 5:26:59 PM,0,1900-01-01 17:26:59,,,0
