Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,22.0,16.0,10.0,28.0,1.12,0.0,-71.274,2395.723,-37.7,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,478698.3435,3617339.011,1
,Mixed / non conventional,22.0,16.0,11.5,26.5,1.03,0.0,-100.193,2395.723,-24.74,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,25.0,11.5,0.98,0.0,130.529,2395.723,17.99,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,13.0,25.0,0.94,0.0,-158.573,2395.723,-14.14,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,26.5,10.0,1.07,0.0,85.468,2395.723,29.87,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,14.5,23.5,0.7,0.0,-285.064,2395.723,-5.89,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,20.5,14.5,0.62,0.0,232.494,2395.723,6.43,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,17.5,20.5,0.68,0.0,-231.684,2395.723,-7.07,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,19.0,17.5,0.84,0.0,141.668,2395.723,14.14,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
,Mixed / non conventional,22.0,16.0,23.5,13.0,0.77,0.0,221.506,2395.723,8.32,0,,1/28/2024 5:25:58 PM,0,1900-01-01 17:25:58,,,0
