Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,8.0,2.0,12.5,-4.0,1.18,0.0,92.773,2345.646,29.87,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,478699.9861,3617361.935,1
,Mixed / non conventional,8.0,2.0,-2.5,12.5,1.15,0.0,-109.058,2345.646,-24.74,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,11.0,-2.5,1.1,0.0,143.36,2345.646,17.99,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,-1.0,11.0,1.04,0.0,-173.27,2345.646,-14.14,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,3.5,6.5,0.73,0.0,-243.514,2345.646,-7.07,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,0.5,9.5,0.78,0.0,-309.611,2345.646,-5.89,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,6.5,0.5,0.68,0.0,248.221,2345.646,6.43,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,5.0,3.5,0.9,0.0,148.902,2345.646,14.14,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,-4.0,14.0,1.22,0.0,-75.991,2345.646,-37.7,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
,Mixed / non conventional,8.0,2.0,9.5,-1.0,0.86,0.0,242.803,2345.646,8.32,0,,1/28/2024 5:25:25 PM,0,1900-01-01 17:25:25,,,0
