Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,52.0,46.0,56.5,40.0,1.21,0.0,95.658,2356.229,29.87,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,478691.9106,3617294.066,1
,Mixed / non conventional,52.0,46.0,40.0,58.0,1.25,0.0,-77.841,2356.229,-37.7,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,41.5,56.5,1.18,0.0,-111.915,2356.229,-24.74,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,55.0,41.5,1.11,0.0,145.874,2356.229,17.99,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,43.0,55.0,1.05,0.0,-175.818,2356.229,-14.14,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,53.5,43.0,0.87,0.0,246.533,2356.229,8.32,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,44.5,53.5,0.79,0.0,-314.429,2356.229,-5.89,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,50.5,44.5,0.71,0.0,261.038,2356.229,6.43,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,47.5,50.5,0.72,0.0,-240.848,2356.229,-7.07,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
,Mixed / non conventional,52.0,46.0,49.0,47.5,0.81,0.0,135.412,2356.229,14.14,0,,1/28/2024 5:27:09 PM,0,1900-01-01 17:27:09,,,0
