Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,9.0,3.0,-1.5,13.5,1.14,0.0,-107.237,2330.931,-24.74,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,478699.8707,3617360.594,1
,Mixed / non conventional,9.0,3.0,12.0,-1.5,1.09,0.0,140.884,2330.931,17.99,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,-3.0,15.0,1.22,0.0,-75.299,2330.931,-37.7,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,13.5,-3.0,1.16,0.0,90.871,2330.931,29.87,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,0.0,12.0,1.04,0.0,-171.343,2330.931,-14.14,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,10.5,0.0,0.86,0.0,240.547,2330.931,8.32,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,1.5,10.5,0.78,0.0,-307.836,2330.931,-5.89,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,7.5,1.5,0.69,0.0,248.598,2330.931,6.43,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,4.5,7.5,0.75,0.0,-247.96,2330.931,-7.07,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
,Mixed / non conventional,9.0,3.0,6.0,4.5,0.92,0.0,152.135,2330.931,14.14,0,,1/28/2024 5:25:27 PM,0,1900-01-01 17:25:27,,,0
