Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,30.0,24.0,33.0,19.5,0.96,0.0,126.77,2385.462,17.99,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,478695.8042,3617326.333,1
,Mixed / non conventional,30.0,24.0,34.5,18.0,1.03,0.0,82.588,2385.462,29.87,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,19.5,34.5,1.01,0.0,-97.399,2385.462,-24.74,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,18.0,36.0,1.1,0.0,-69.347,2385.462,-37.7,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,21.0,33.0,0.91,0.0,-154.313,2385.462,-14.14,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,22.5,31.5,0.69,0.0,-279.936,2385.462,-5.89,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,27.0,25.5,0.83,0.0,140.386,2385.462,14.14,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,31.5,21.0,0.76,0.0,216.77,2385.462,8.32,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,28.5,22.5,0.62,0.0,229.379,2385.462,6.43,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
,Mixed / non conventional,30.0,24.0,25.5,28.5,0.68,0.0,-229.232,2385.462,-7.07,0,,1/28/2024 5:26:17 PM,0,1900-01-01 17:26:17,,,0
