Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,16.0,10.0,4.0,22.0,1.11,0.0,-69.934,2383.152,-37.7,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,478698.8705,3617348.747,1
,Mixed / non conventional,16.0,10.0,20.5,4.0,1.05,0.0,83.646,2383.152,29.87,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,5.5,20.5,1.02,0.0,-98.534,2383.152,-24.74,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,19.0,5.5,0.97,0.0,128.358,2383.152,17.99,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,7.0,19.0,0.93,0.0,-156.317,2383.152,-14.14,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,8.5,17.5,0.7,0.0,-281.825,2383.152,-5.89,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,14.5,8.5,0.62,0.0,229.393,2383.152,6.43,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,11.5,14.5,0.73,0.0,-246.878,2383.152,-7.07,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,13.0,11.5,0.94,0.0,158.897,2383.152,14.14,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
,Mixed / non conventional,16.0,10.0,17.5,7.0,0.76,0.0,218.72,2383.152,8.32,0,,1/28/2024 5:25:44 PM,0,1900-01-01 17:25:44,,,0
