Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,24.0,18.0,13.5,28.5,1.01,0.0,-98.014,2393.309,-24.74,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,478697.437,3617335.92,1
,Mixed / non conventional,24.0,18.0,27.0,13.5,0.96,0.0,127.805,2393.309,17.99,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,12.0,30.0,1.1,0.0,-69.838,2393.309,-37.7,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,28.5,12.0,1.04,0.0,83.475,2393.309,29.87,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,15.0,27.0,0.92,0.0,-155.301,2393.309,-14.14,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,25.5,15.0,0.76,0.0,217.404,2393.309,8.32,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,16.5,25.5,0.69,0.0,-280.723,2393.309,-5.89,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,22.5,16.5,0.62,0.0,229.517,2393.309,6.43,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,19.5,22.5,0.8,0.0,-271.454,2393.309,-7.07,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
,Mixed / non conventional,24.0,18.0,21.0,19.5,1.08,0.0,182.73,2393.309,14.14,0,,1/28/2024 5:26:03 PM,0,1900-01-01 17:26:03,,,0
