Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,11.0,5.0,-1.0,17.0,1.12,0.0,-70.349,2374.224,-37.7,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,478698.9634,3617357.103,1
,Mixed / non conventional,11.0,5.0,15.5,-1.0,1.06,0.0,83.866,2374.224,29.87,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,0.5,15.5,1.02,0.0,-98.314,2374.224,-24.74,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,14.0,0.5,0.97,0.0,128.311,2374.224,17.99,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,2.0,14.0,0.92,0.0,-155.301,2374.224,-14.14,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,12.5,2.0,0.76,0.0,216.312,2374.224,8.32,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,9.5,3.5,0.61,0.0,226.431,2374.224,6.43,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,6.5,9.5,0.65,0.0,-219.067,2374.224,-7.07,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,8.0,6.5,0.79,0.0,131.841,2374.224,14.14,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
,Mixed / non conventional,11.0,5.0,3.5,12.5,0.69,0.0,-277.837,2374.224,-5.89,0,,1/28/2024 5:25:32 PM,0,1900-01-01 17:25:32,,,0
