Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,18.0,12.0,21.0,7.5,1.0,0.0,130.824,2347.92,17.99,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,478697.982,3617345.288,1
,Mixed / non conventional,18.0,12.0,6.0,24.0,1.12,0.0,-69.977,2347.92,-37.7,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,22.5,6.0,1.07,0.0,84.133,2347.92,29.87,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,7.5,22.5,1.05,0.0,-99.287,2347.92,-24.74,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,9.0,21.0,0.96,0.0,-159.413,2347.92,-14.14,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,16.5,10.5,0.64,0.0,234.135,2347.92,6.43,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,10.5,19.5,0.72,0.0,-287.292,2347.92,-5.89,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,15.0,13.5,1.21,0.0,200.541,2347.92,14.14,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,19.5,9.0,0.79,0.0,223.643,2347.92,8.32,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
,Mixed / non conventional,18.0,12.0,13.5,16.5,0.88,0.0,-292.41,2347.92,-7.07,0,,1/28/2024 5:25:49 PM,0,1900-01-01 17:25:49,,,0
