Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,20.0,14.0,24.5,8.0,1.01,0.0,81.391,2397.555,29.87,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,478698.5744,3617341.793,1
,Mixed / non conventional,20.0,14.0,9.5,24.5,0.99,0.0,-96.039,2397.555,-24.74,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,23.0,9.5,0.93,0.0,124.514,2397.555,17.99,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,11.0,23.0,0.89,0.0,-151.547,2397.555,-14.14,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,15.5,18.5,0.82,0.0,-277.159,2397.555,-7.07,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,12.5,21.5,0.67,0.0,-271.021,2397.555,-5.89,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,18.5,12.5,0.6,0.0,222.991,2397.555,6.43,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,17.0,15.5,1.13,0.0,191.438,2397.555,14.14,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,8.0,26.0,1.08,0.0,-68.684,2397.555,-37.7,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
,Mixed / non conventional,20.0,14.0,21.5,11.0,0.73,0.0,209.124,2397.555,8.32,0,,1/28/2024 5:25:54 PM,0,1900-01-01 17:25:54,,,0
