Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,4.0,-2.0,8.5,-8.0,1.21,0.0,95.625,2355.564,29.87,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,478700.4789,3617368.851,1
,Mixed / non conventional,4.0,-2.0,-6.5,8.5,1.19,0.0,-113.541,2355.564,-24.74,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,7.0,-6.5,1.14,0.0,148.798,2355.564,17.99,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,-5.0,7.0,1.09,0.0,-180.788,2355.564,-14.14,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,-8.0,10.0,1.25,0.0,-78.404,2355.564,-37.7,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,-3.5,5.5,0.8,0.0,-319.747,2355.564,-5.89,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,2.5,-3.5,0.7,0.0,257.752,2355.564,6.43,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,-0.5,2.5,0.69,0.0,-231.069,2355.564,-7.07,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,1.0,-0.5,0.79,0.0,131.769,2355.564,14.14,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
,Mixed / non conventional,4.0,-2.0,5.5,-5.0,0.89,0.0,250.849,2355.564,8.32,0,,1/28/2024 5:25:15 PM,0,1900-01-01 17:25:15,,,0
