Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,14.0,8.0,2.0,20.0,1.11,0.0,-69.939,2380.47,-37.7,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,478698.9722,3617352.442,1
,Mixed / non conventional,14.0,8.0,18.5,2.0,1.05,0.0,83.971,2380.47,29.87,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,3.5,18.5,1.02,0.0,-98.486,2380.47,-24.74,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,17.0,3.5,0.98,0.0,129.513,2380.47,17.99,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,5.0,17.0,0.93,0.0,-157.176,2380.47,-14.14,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,15.5,5.0,0.77,0.0,220.113,2380.47,8.32,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,12.5,6.5,0.62,0.0,228.41,2380.47,6.43,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,11.0,9.5,0.82,0.0,138.578,2380.47,14.14,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,6.5,15.5,0.7,0.0,-282.646,2380.47,-5.89,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
,Mixed / non conventional,14.0,8.0,9.5,12.5,0.67,0.0,-226.838,2380.47,-7.07,0,,1/28/2024 5:25:39 PM,0,1900-01-01 17:25:39,,,0
