Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,28.0,22.0,32.5,16.0,1.04,0.0,82.745,2385.111,29.87,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,478695.9322,3617329.193,1
,Mixed / non conventional,28.0,22.0,17.5,32.5,1.01,0.0,-97.413,2385.111,-24.74,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,31.0,17.5,0.97,0.0,128.172,2385.111,17.99,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,19.0,31.0,0.93,0.0,-156.212,2385.111,-14.14,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,16.0,34.0,1.09,0.0,-68.861,2385.111,-37.7,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,20.5,29.5,0.7,0.0,-284.544,2385.111,-5.89,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,26.5,20.5,0.63,0.0,232.15,2385.111,6.43,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,23.5,26.5,0.65,0.0,-220.588,2385.111,-7.07,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,25.0,23.5,0.77,0.0,129.723,2385.111,14.14,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
,Mixed / non conventional,28.0,22.0,29.5,19.0,0.77,0.0,220.643,2385.111,8.32,0,,1/28/2024 5:26:13 PM,0,1900-01-01 17:26:13,,,0
